source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[biological replicate]	material type	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[data file]
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F1.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F1.raw
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 2	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F2.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F2.raw
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 3	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F3.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F3.raw
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 4	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F4.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F4.raw
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 5	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	5	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F5.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F5.raw
IPX0001289001-Sample 1	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 6	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	6	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016903_82920_B_Gastric_Fundus_sRP_20per_F6.raw	Exp016903_82920_B_Gastric_Fundus_sRP_20per_F6.raw
IPX0001289001-Sample 2	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 7	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016904_82921_C_Lesser_curvature_sRP_20per_F1.raw	Exp016904_82921_C_Lesser_curvature_sRP_20per_F1.raw
IPX0001289001-Sample 2	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 8	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	2	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016904_82921_C_Lesser_curvature_sRP_20per_F2.raw	Exp016904_82921_C_Lesser_curvature_sRP_20per_F2.raw
IPX0001289001-Sample 2	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 9	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	3	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016904_82921_C_Lesser_curvature_sRP_20per_F3.raw	Exp016904_82921_C_Lesser_curvature_sRP_20per_F3.raw
IPX0001289001-Sample 2	homo sapiens	stomach	stomach carcinoma	not available	not available	not available	1	tissue	not available	not available	run 10	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	4	1	AC=MS:1002038;NT=label free sample	NT=Orbitrap Fusion;AC=MS:1002416	20 ppm	0.03 Da	AC=MS:1000422;NT=HCD	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	https://download.iprox.cn/IPX0001289000/IPX0001289001/Exp016904_82921_C_Lesser_curvature_sRP_20per_F4.raw	Exp016904_82921_C_Lesser_curvature_sRP_20per_F4.raw
