source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Kimchi_N0day_RA7_01_34973	Kimchi_N0day_RA7_01_34973	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N0day_RA7_01_34973	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N0day_RA7_01_34973.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_N0day_RA7_01_34974	Kimchi_N0day_RA7_01_34974	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N0day_RA7_01_34974	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N0day_RA7_01_34974.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_N0day_RA7_01_34975	Kimchi_N0day_RA7_01_34975	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N0day_RA7_01_34975	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N0day_RA7_01_34975.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_N15day_RB2_01_34983	Kimchi_N15day_RB2_01_34983	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N15day_RB2_01_34983	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N15day_RB2_01_34983.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_N15day_RB2_01_34984	Kimchi_N15day_RB2_01_34984	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N15day_RB2_01_34984	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N15day_RB2_01_34984.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_N15day_RB2_01_34985	Kimchi_N15day_RB2_01_34985	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_N15day_RB2_01_34985	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_N15day_RB2_01_34985.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_P0day_RA8_01_34976	Kimchi_P0day_RA8_01_34976	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_P0day_RA8_01_34976	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_P0day_RA8_01_34976.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_P0day_RA8_01_34977	Kimchi_P0day_RA8_01_34977	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_P0day_RA8_01_34977	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_P0day_RA8_01_34977.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_P0day_RA8_01_34978	Kimchi_P0day_RA8_01_34978	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_P0day_RA8_01_34978	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_P0day_RA8_01_34978.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Kimchi_P15day_RB3_01_34986	Kimchi_P15day_RB3_01_34986	Lacticaseibacillus rhamnosus	not available	not applicable	not available	Metaproteomic_Analysis_of_Fermented_Vegetables_Added_with_Lacticaseibacillus_rhamnosus_GG_and_Polyphenols_Derived_from_the_Seed_Coat_of_Mung_Bean_Vigna_radiata_L	not available	not available	not available	not available	not available	not available	1	Kimchi_P15day_RB3_01_34986	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Kimchi_P15day_RB3_01_34986.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
