source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[technical replicate]	comment[label]	comment[fraction identifier]	comment[instrument]	comment[data file]	comment[file uri]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[condition]
Sample_A_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A
Sample_B_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B
Sample_C_rep1	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 1	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD803.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD803.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C
Sample_A_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A
Sample_B_rep2	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B
Sample_C_rep2	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 2	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	2	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD804.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD804.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C
Sample_A_rep3	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD815.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD815.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_A
Sample_B_rep3	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ4	1	NT=Q Exactive;AC=MS:1001911	wJD815.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD815.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B
Sample_C_rep3	Homo sapiens	cell culture	JURKAT cell	not available	not available	not available	1	run 3	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	3	MTRAQ8	1	NT=Q Exactive;AC=MS:1001911	wJD815.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD815.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_C
Sample_B_swap1_rep1	Homo sapiens	cell culture	U-937 cell	not available	not available	not available	1	run 4	proteomic profiling by mass spectrometry	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	1	MTRAQ0	1	NT=Q Exactive;AC=MS:1001911	wJD805.raw	ftp://massive-ftp.ucsd.edu/v04/MSV000088302/raw/wJD805.raw	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;PP=Anywhere;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;PP=Anywhere;TA=M	data-independent acquisition	HCD	5 ppm	10 ppm	Sample_B_swap1
