source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Blank1	Blank1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank2	Blank2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank3	Blank3	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank3.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank4	Blank4	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank4	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank4.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank5	Blank5	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank5	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank5.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank6	Blank6	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank6	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank6.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank7	Blank7	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank7	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank7.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank8	Blank8	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank8	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank8.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Blank9	Blank9	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	Blank9	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	Blank9.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Acr_A_3007_1	TP0_Acr_A_3007_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Acr_A_3007_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Acr_A_3007_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Acr_A_3007_2	TP0_Acr_A_3007_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Acr_A_3007_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Acr_A_3007_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Acr_A_5070_1	TP0_Acr_A_5070_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Acr_A_5070_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Acr_A_5070_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Acr_A_5070_2	TP0_Acr_A_5070_2	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Acr_A_5070_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Acr_A_5070_2.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
TP0_Acr_A_638_1	TP0_Acr_A_638_1	Homo sapiens	not available	not applicable	not available	Metaproteome_analysis_of_the_coral_holobiont_demonstrates_algal_symbiont_quiescence_under_thermal_stress	not available	not available	not available	not available	not available	not available	1	TP0_Acr_A_638_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=instrument model;AC=MS:1000031	not applicable	not available	1	1	TP0_Acr_A_638_1.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
