source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PRIDE_Exp_Complete_Ac_3300.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3300.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3300.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3300.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3299.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3299.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3299.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3299.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3284.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3284.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3284.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3284.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3286.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3286.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3286.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3286.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3283.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3283.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3283.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3283.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3288.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3288.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3288.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3288.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3306.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3306.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3306.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3306.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3297.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3297.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3297.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3297.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3313.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3313.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3313.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3313.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
PRIDE_Exp_Complete_Ac_3310.pride	danio rerio	Embryo	not applicable	not available	1	PRIDE_Exp_Complete_Ac_3310.pride	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap;AC=MS:1000449	NT=instrument model;AC=MS:1000031	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	PRIDE_Exp_Complete_Ac_3310.pride.mgf.gz	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2008/06/PRD000047/generated/PRIDE_Exp_Complete_Ac_3310.pride.mgf.gz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Embryo
