source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[compound]	characteristics[compound]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[compound]	factor value[compound]
MEF-FN-untreated-f1-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	1	1	20101126_AMF_FN_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f10-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	10	1	20101126_AMF_FN_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f11-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	11	1	20101126_AMF_FN_11.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f12-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	12	1	20101126_AMF_FN_12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f13-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_13	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	13	1	20101126_AMF_FN_13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f14-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	14	1	20101126_AMF_FN_14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f15-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_15	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	15	1	20101126_AMF_FN_15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f16-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	16	1	20101126_AMF_FN_16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f17-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_17	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	17	1	20101126_AMF_FN_17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
MEF-FN-untreated-f18-20101126	Mus musculus	not available	embryonic fibroblast	normal	embryo	not available	not available	not available	Fibronectin	not applicable	cell	1	run 20101126_AMF_FN_18	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=LTQ Velos;AC=MS:1000855	label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;MT=Fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=collision-induced dissociation;AC=MS:1000133	not available	0.4 Da	0.5 Da	18	1	20101126_AMF_FN_18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	Fibronectin	not applicable
