source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[caste]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[organism part]	factor value[caste]
Am_drone_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	male	drone	not available	tissue	1	brnd1smpep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	brnd1smpep.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	drone
Am_drone_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	male	drone	not available	tissue	2	brnd2smpep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	brnd2smpep.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	drone
Am_queen_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	female	queen	not available	tissue	2	brnq2smpep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	brnq2smpep.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	queen
Am_drone_crop	Apis mellifera ligustica	crop	not applicable	normal	adult	not available	male	drone	not available	tissue	2	crop_d2_frac1of1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	crop_d2_frac1of1.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=crop;AC=UBERON:0007356	drone
Am_queen_crop	Apis mellifera ligustica	crop	not applicable	normal	adult	not available	female	queen	not available	tissue	1	crop_q1_frac1of1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	crop_q1_frac1of1.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=crop;AC=UBERON:0007356	queen
Am_queen_crop	Apis mellifera ligustica	crop	not applicable	normal	adult	not available	female	queen	not available	tissue	2	crop_q2_frac1of1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	not applicable	20 ppm	0.5 Da	1	1	crop_q2_frac1of1.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=crop;AC=UBERON:0007356	queen
Am_not_available_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	not available	not available	not available	tissue	1	qc_brain1_dw_scx0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	20 ppm	0.5 Da	0	2	qc_brain1_dw_scx0.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	not available
Am_not_available_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	not available	not available	not available	tissue	1	qc_brain1_dw_scx1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	20 ppm	0.5 Da	1	3	qc_brain1_dw_scx1.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	not available
Am_not_available_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	not available	not available	not available	tissue	1	qc_brain1_dw_scx2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	20 ppm	0.5 Da	2	3	qc_brain1_dw_scx2.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	not available
Am_not_available_brain	Apis mellifera ligustica	brain	not applicable	normal	adult	not available	not available	not available	not available	tissue	1	qc_brain1_dw_scx3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap;AC=MS:1000447	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	20 ppm	0.5 Da	3	2	qc_brain1_dw_scx3.RAW	v1.1.0	manual curation	NT=invertebrates;VV=v1.1.0	NT=brain;AC=UBERON:0000955	not available
