source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample name]
110714_P2_V2_BH_U1_2	110714_P2_V2_BH_U1_2	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110714_P2_V2_BH_U1_2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110714_P2_V2_BH_U1_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110714_P2_V2_BH_U1_2
110714_P2_V2_BH_U1_4	110714_P2_V2_BH_U1_4	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110714_P2_V2_BH_U1_4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110714_P2_V2_BH_U1_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110714_P2_V2_BH_U1_4
110714_P2_V2_BH_U2_10	110714_P2_V2_BH_U2_10	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110714_P2_V2_BH_U2_10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110714_P2_V2_BH_U2_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110714_P2_V2_BH_U2_10
110714_P2_V2_BH_U2_3	110714_P2_V2_BH_U2_3	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110714_P2_V2_BH_U2_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110714_P2_V2_BH_U2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110714_P2_V2_BH_U2_3
110714_P2_V2_BH_U2_4	110714_P2_V2_BH_U2_4	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110714_P2_V2_BH_U2_4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110714_P2_V2_BH_U2_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110714_P2_V2_BH_U2_4
110802_P2_V2_BH_K2_11	110802_P2_V2_BH_K2_11	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110802_P2_V2_BH_K2_11	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110802_P2_V2_BH_K2_11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110802_P2_V2_BH_K2_11
110802_P2_V2_BH_K2_9	110802_P2_V2_BH_K2_9	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110802_P2_V2_BH_K2_9	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110802_P2_V2_BH_K2_9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110802_P2_V2_BH_K2_9
110803_P2_V2_BH_K3_1	110803_P2_V2_BH_K3_1	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	110803_P2_V2_BH_K3_1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	110803_P2_V2_BH_K3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	110803_P2_V2_BH_K3_1
120123_V2_P5_AO_KR_B3_II_3	120123_V2_P5_AO_KR_B3_II_3	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	120123_V2_P5_AO_KR_B3_II_3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	120123_V2_P5_AO_KR_B3_II_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	120123_V2_P5_AO_KR_B3_II_3
121209_V2_P6_CH_CL_2u_1_10	121209_V2_P6_CH_CL_2u_1_10	metagenome	not applicable	not applicable	not available	not available	urinary microbiome	Homo sapiens	not available	not available	1	121209_V2_P6_CH_CL_2u_1_10	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	1	121209_V2_P6_CH_CL_2u_1_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	121209_V2_P6_CH_CL_2u_1_10
