source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
111115_DML8_2_34	Mus musculus	heart	not applicable	not available	34	111115_DML8_2_34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	111115_DML8_2_34.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/111115_DML8_2_34.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_1	Mus musculus	heart	not applicable	not available	1	120910_DML15B_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_1.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_1.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120813_DML12_IEF_15	Mus musculus	heart	not applicable	not available	15	120813_DML12_IEF_15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120813_DML12_IEF_15.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120813_DML12_IEF_15.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120830_DML14B_35	Mus musculus	heart	not applicable	not available	35	120830_DML14B_35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120830_DML14B_35.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120830_DML14B_35.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120725_DML12_50	Mus musculus	heart	not applicable	not available	50	120725_DML12_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_50.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_50.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_28	Mus musculus	heart	not applicable	not available	28	120910_DML15B_28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_28.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_28.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120725_DML12_20	Mus musculus	heart	not applicable	not available	20	120725_DML12_20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120725_DML12_20.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120725_DML12_20.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120910_DML15B_8	Mus musculus	heart	not applicable	not available	8	120910_DML15B_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120910_DML15B_8.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120910_DML15B_8.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120813_DML12_IEF_12	Mus musculus	heart	not applicable	not available	12	120813_DML12_IEF_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120813_DML12_IEF_12.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120813_DML12_IEF_12.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
120830_DML14B_27	Mus musculus	heart	not applicable	not available	27	120830_DML14B_27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	1	1	120830_DML14B_27.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000268/120830_DML14B_27.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	heart
