source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HCC_Fe_IMAC_20120229_09	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	9	HCC_Fe_IMAC_20120229_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_09.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_09.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_04	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	4	HCC_Fe_IMAC_20120229_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_04.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_04.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_IMAC_20120229_09	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	9	HCC_Ga_IMAC_20120229_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_IMAC_20120229_09.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_IMAC_20120229_09.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Fe_IMAC_20120229_08	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	8	HCC_Fe_IMAC_20120229_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Fe_IMAC_20120229_08.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Fe_IMAC_20120229_08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Fe_20120223_01	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	WET_Lung_Tumor_Fe_20120223_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Fe_20120223_01.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Fe_20120223_01.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_06	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	6	HCC_Ga_Fe_IMAC_20120229_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_06.wiff.mtd	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_06.wiff.mtd	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_Fe_IMAC_20120229_08	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	8	HCC_Ga_Fe_IMAC_20120229_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_Fe_IMAC_20120229_08.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_Fe_IMAC_20120229_08.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Ga_20120223_01	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	1	WET_Lung_Tumor_Ga_20120223_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Ga_20120223_01.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Ga_20120223_01.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
WET_Lung_Tumor_Fe_20120223_02	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	2	WET_Lung_Tumor_Fe_20120223_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	WET_Lung_Tumor_Fe_20120223_02.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/WET_Lung_Tumor_Fe_20120223_02.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
HCC_Ga_IMAC_20120229_07	homo sapiens	lung	not applicable	not available	enrichment of phosphorylated protein	7	HCC_Ga_IMAC_20120229_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=tripletof 5600;AC=MS:1000932	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	HCC_Ga_IMAC_20120229_07.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/01/PXD000314/HCC_Ga_IMAC_20120229_07.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	lung
