source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
110919HaCaT_CTR_3b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_3b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_3b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_3b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t4	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t4.wiff	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t4.wiff	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_5a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_5a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_5a.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_5a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110708hacat_polyIC5	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110708hacat_polyIC5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110708hacat_polyIC5.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110708hacat_polyIC5.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110707hacat_ctr1	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110707hacat_ctr1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110707hacat_ctr1.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110707hacat_ctr1.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_t5	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_t5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_t5.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_t5.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110917HaCaT_pIC_4a	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110917HaCaT_pIC_4a	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110917HaCaT_pIC_4a.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110917HaCaT_pIC_4a.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_CTR_5b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_CTR_5b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_CTR_5b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_CTR_5b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110623hacat_ctr3	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110623hacat_ctr3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110623hacat_ctr3.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110623hacat_ctr3.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
110919HaCaT_pIC_4b	homo sapiens	Keratinocyte	not applicable	not available	enrichment of phosphorylated protein	1	110919HaCaT_pIC_4b	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=qstar;AC=MS:1000190	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	strong cation-exchange chromatography (scx)	iodoacetamide (iaa)	1	1	110919HaCaT_pIC_4b.wiff.scan	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/07/PXD000670/110919HaCaT_pIC_4b.wiff.scan	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Keratinocyte
