source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
EXP-110600949ZilbersteinQ1high	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600949ZilbersteinQ1high	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600949ZilbersteinQ1high.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600949ZilbersteinQ1high.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110100836exclusion1	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110100836exclusion1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110100836exclusion1.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110100836exclusion1.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600948ZibersteinQ1high	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600948ZibersteinQ1high	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600948ZibersteinQ1high.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600948ZibersteinQ1high.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-101000795Q1high	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-101000795Q1high	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-101000795Q1high.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-101000795Q1high.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-101000795	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-101000795	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-101000795.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-101000795.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600948ZilbersteinQ1low_2	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	2	EXP-110600948ZilbersteinQ1low_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600948ZilbersteinQ1low_2.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600948ZilbersteinQ1low_2.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110100836low	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110100836low	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110100836low.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110100836low.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110100836	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110100836	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110100836.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110100836.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600949Zilberstein	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600949Zilberstein	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600949Zilberstein.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600949Zilberstein.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600949ZilbersteinQ1low-EXP-110600949ZilbersteinQ1low	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600949ZilbersteinQ1low-EXP-110600949ZilbersteinQ1low	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600949ZilbersteinQ1low-EXP-110600949ZilbersteinQ1low.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600949ZilbersteinQ1low-EXP-110600949ZilbersteinQ1low.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600948exclusion	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600948exclusion	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600948exclusion.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600948exclusion.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-101000795Exclusion	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-101000795Exclusion	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-101000795Exclusion.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-101000795Exclusion.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
EXP-110600948Ziberstein	leishmania donovani	not available	not applicable	not available	enrichment of phosphorylated protein	1	EXP-110600948Ziberstein	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=qstar;AC=MS:1000190	NT=iTRAQ4plex;AC=UNIMOD:214;TA=K;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	strong cation-exchange chromatography (scx)	1	1	EXP-110600948Ziberstein.mzML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/04/PXD000671/EXP-110600948Ziberstein.mzML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
