source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20110311_Fillinger_Botrytis_BI_07	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	7	20110311_Fillinger_Botrytis_BI_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytis_BI_07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytis_BI_07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytris_BD_06	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	6	20110311_Fillinger_Botrytris_BD_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytris_BD_06.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytris_BD_06.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytris_BI_06	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	6	20110311_Fillinger_Botrytris_BI_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytris_BI_06.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytris_BI_06.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Alternaria_F2T2_07	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	7	20110311_Fillinger_Alternaria_F2T2_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Alternaria_F2T2_07.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Alternaria_F2T2_07.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytis_BE_03	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	3	20110311_Fillinger_Botrytis_BE_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytis_BE_03.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytis_BE_03.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Alternaria_F2T2_02	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	2	20110311_Fillinger_Alternaria_F2T2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Alternaria_F2T2_02.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Alternaria_F2T2_02.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytis_rep1_09	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	9	20110311_Fillinger_Botrytis_rep1_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytis_rep1_09.mgf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytis_rep1_09.mgf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytris_rep1_06	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	6	20110311_Fillinger_Botrytris_rep1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytris_rep1_06.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytris_rep1_06.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Alternaria_211_09	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	9	20110311_Fillinger_Alternaria_211_09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Alternaria_211_09.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Alternaria_211_09.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
20110311_Fillinger_Botrytis_rep1_07	Alternaria brassicae	Mycelium	not applicable	not available	phosphopeptide enrichment (IMAC)	7	20110311_Fillinger_Botrytis_rep1_07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ;AC=MS:1000447	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	strong cation exchange chromatography	1	1	20110311_Fillinger_Botrytis_rep1_07.mzXML	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/06/PXD000817/20110311_Fillinger_Botrytis_rep1_07.mzXML	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Mycelium
