source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
Tul1D_whole_r1_b01	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r1_b01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r1_b01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r1_b01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r2_b04	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r2_b04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r2_b04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r2_b04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r1_b02	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r1_b02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r1_b02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r1_b02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r2_b02	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r2_b02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r2_b02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r2_b02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_diGly-K_r2	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_diGly-K_r2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_diGly-K_r2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_diGly-K_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r1_b04	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r1_b04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r1_b04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r1_b04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r2_b01	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r2_b01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r2_b01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r2_b01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r2_b09	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r2_b09	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r2_b09.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r2_b09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r1_b03	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r1_b03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r1_b03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r1_b03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
Tul1D_whole_r1_b06	saccharomyces cerevisiae	not available	not applicable	not available	antibody enrichment	1	Tul1D_whole_r1_b06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	32% NCE	sds page	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	Tul1D_whole_r1_b06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD000918/Tul1D_whole_r1_b06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
