source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
E03882_2_3595_Ub2_Cofradic_QE_22	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	22	E03882_2_3595_Ub2_Cofradic_QE_22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03882_2_3595_Ub2_Cofradic_QE_22.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03882_2_3595_Ub2_Cofradic_QE_22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03910_2_3595_Ub2_Cofradic_QE_49	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	49	E03910_2_3595_Ub2_Cofradic_QE_49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03910_2_3595_Ub2_Cofradic_QE_49.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03910_2_3595_Ub2_Cofradic_QE_49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03873_2_3595_Ub2_Cofradic_QE_14	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	14	E03873_2_3595_Ub2_Cofradic_QE_14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03873_2_3595_Ub2_Cofradic_QE_14.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03873_2_3595_Ub2_Cofradic_QE_14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03872_2_3595_Ub2_Cofradic_QE_13	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	13	E03872_2_3595_Ub2_Cofradic_QE_13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03872_2_3595_Ub2_Cofradic_QE_13.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03872_2_3595_Ub2_Cofradic_QE_13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03920_2_3595_Ub2_Cofradic_QE_59	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	59	E03920_2_3595_Ub2_Cofradic_QE_59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03920_2_3595_Ub2_Cofradic_QE_59.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03920_2_3595_Ub2_Cofradic_QE_59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03890_2_3595_Ub2_Cofradic_QE_30	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	30	E03890_2_3595_Ub2_Cofradic_QE_30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03890_2_3595_Ub2_Cofradic_QE_30.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03890_2_3595_Ub2_Cofradic_QE_30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03893_2_3595_Ub2_Cofradic_QE_33	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	33	E03893_2_3595_Ub2_Cofradic_QE_33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03893_2_3595_Ub2_Cofradic_QE_33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03893_2_3595_Ub2_Cofradic_QE_33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03911_2_3595_Ub2_Cofradic_QE_50	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	50	E03911_2_3595_Ub2_Cofradic_QE_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03911_2_3595_Ub2_Cofradic_QE_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03911_2_3595_Ub2_Cofradic_QE_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03917_2_3595_Ub2_Cofradic_QE_56	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	56	E03917_2_3595_Ub2_Cofradic_QE_56	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03917_2_3595_Ub2_Cofradic_QE_56.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03917_2_3595_Ub2_Cofradic_QE_56.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
E03902_2_3595_Ub2_Cofradic_QE_41	Homo sapiens	Cell suspension culture	jurkat	not available	ubiquitinated peptide enrichment	41	E03902_2_3595_Ub2_Cofradic_QE_41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Propionamide;AC=UNIMOD:39;TA=C;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	E03902_2_3595_Ub2_Cofradic_QE_41.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000934/E03902_2_3595_Ub2_Cofradic_QE_41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cell suspension culture
