source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
ORBI08961	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08961	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08961.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08961.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08621	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08621	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08621.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08621.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08580	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08580	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08580.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08580.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI09056	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI09056	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI09056.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI09056.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08904	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08904	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08904.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08904.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08956	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08956	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08956.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08956.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08567	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08567	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08567.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08567.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI09000	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI09000	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI09000.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI09000.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI08919	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI08919	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI08919.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI08919.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
ORBI09031	homo sapiens	Epithelial cell	LNCaP cell	Prostate adenocarcinoma	enrichment of phosphorylated protein	LNCaP	CVCL_0395	LNCaP	1	ORBI09031	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	5 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	ORBI09031.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/07/PXD000985/ORBI09031.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	Epithelial cell
