source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
PrfAstarBHI02	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK19ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK19ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK19ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK19ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli10	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli10.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL01	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK21	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK21.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK21.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL04	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL04.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK15ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK15ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK15ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK15ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelL17ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelL17ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelL17ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelL17ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK21ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK21ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK21ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK21ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK12ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK12ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK12ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK12ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAgelK18	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAgelK18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAgelK18.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAgelK18.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHIrepli09ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHIrepli09ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHIrepli09ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHIrepli09ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHI06	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI06.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfAstarBHI01ri	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfAstarBHI01ri	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfAstarBHI01ri.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfAstarBHI01ri.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PrfaL05	Listeria monocytogenes egd-e	not available	not applicable	not available	1	PrfaL05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	not applicable	not available	1	1	PrfaL05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2014/10/PXD001108/PrfaL05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
