source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Velos011878Rep1F1	homo sapiens	Cell culture	not applicable	not available	1	Velos011878Rep1F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011878Rep1F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011878Rep1F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos011867Rep1F8	homo sapiens	Cell culture	not applicable	not available	1	Velos011867Rep1F8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011867Rep1F8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011867Rep1F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos011809Rep2F1	homo sapiens	Cell culture	not applicable	not available	1	Velos011809Rep2F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011809Rep2F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011809Rep2F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos02_07831Rep2F3	homo sapiens	Cell culture	not applicable	not available	1	Velos02_07831Rep2F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos02_07831Rep2F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos02_07831Rep2F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos011868Rep1F9	homo sapiens	Cell culture	not applicable	not available	1	Velos011868Rep1F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011868Rep1F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011868Rep1F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos011849Rep2F3	homo sapiens	Cell culture	not applicable	not available	1	Velos011849Rep2F3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011849Rep2F3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011849Rep2F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos02_07827Rep1F4	homo sapiens	Cell culture	not applicable	not available	1	Velos02_07827Rep1F4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos02_07827Rep1F4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos02_07827Rep1F4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos02_07888Rep2F10	homo sapiens	Cell culture	not applicable	not available	1	Velos02_07888Rep2F10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos02_07888Rep2F10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos02_07888Rep2F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos011879Rep2F1	homo sapiens	Cell culture	not applicable	not available	1	Velos011879Rep2F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos011879Rep2F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos011879Rep2F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
Velos02_07826Rep1F5	homo sapiens	Cell culture	not applicable	not available	1	Velos02_07826Rep1F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=ltq orbitrap velos;AC=MS:1001742	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.5 Da	strong cation-exchange chromatography (scx)	1	1	Velos02_07826Rep1F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/02/PXD001241/Velos02_07826Rep1F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	Cell culture
