source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
F116631_JH4_QE.dat	F116631_JH4_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116631_JH4_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116631_JH4_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116641_JH5_QE.dat	F116641_JH5_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116641_JH5_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116641_JH5_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116690_JH7_QE.dat	F116690_JH7_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116690_JH7_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116690_JH7_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116783_JH8_QE.dat	F116783_JH8_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116783_JH8_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116783_JH8_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116901_JH10_QE.dat	F116901_JH10_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116901_JH10_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116901_JH10_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116902_JH11_QE.dat	F116902_JH11_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116902_JH11_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116902_JH11_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116903_JH12_QE.dat	F116903_JH12_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116903_JH12_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116903_JH12_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116905_JH13_QE.dat	F116905_JH13_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116905_JH13_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116905_JH13_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116908_JH14_QE.dat	F116908_JH14_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116908_JH14_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116908_JH14_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
F116909_JH15_QE.dat	F116909_JH15_QE.dat	Homo sapiens	Dental plaque	not applicable	not available	Direct_evidence_of_milk_consumption_from_ancient_human_dental_calculus_St_Helena	Dental plaque	Dental plaque	not available	not available	not available	not available	1	F116909_JH15_QE.dat	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Gln->pyro-Glu;AC=UNIMOD:28;TA=Q;MT=Variable	NT=Glu->pyro-Glu;AC=UNIMOD:27;TA=E;MT=Variable	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	1	F116909_JH15_QE.dat	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	Dental plaque
