source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
QE2_130117_OPL1013_TiOx_CRC_HT29_2_130125003535	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	1	QE2_130117_OPL1013_TiOx_CRC_HT29_2_130125003535	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_HT29_2_130125003535.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_HT29_2_130125003535.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_HT29_3	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	3	QE2_130117_OPL1013_TiOx_CRC_HT29_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_HT29_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_HT29_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_RKO_3	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	3	QE2_130117_OPL1013_TiOx_CRC_RKO_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_RKO_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_RKO_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_RKO_2	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	2	QE2_130117_OPL1013_TiOx_CRC_RKO_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_RKO_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_RKO_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_colo205_3	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	3	QE2_130117_OPL1013_TiOx_CRC_colo205_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_colo205_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_colo205_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_HT29_1	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	1	QE2_130117_OPL1013_TiOx_CRC_HT29_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_HT29_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_HT29_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_DLD1_3_130125023714	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	1	QE2_130117_OPL1013_TiOx_CRC_DLD1_3_130125023714	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_DLD1_3_130125023714.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_DLD1_3_130125023714.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_SW480_2	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	2	QE2_130117_OPL1013_TiOx_CRC_SW480_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_SW480_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_SW480_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_colo205_1_130120072636	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	1	QE2_130117_OPL1013_TiOx_CRC_colo205_1_130120072636	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_colo205_1_130120072636.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_colo205_1_130120072636.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
QE2_130117_OPL1013_TiOx_CRC_CaCo2_2	homo sapiens	Epithelial cell	not applicable	Colon cancer	enrichment of phosphorylated protein	2	QE2_130117_OPL1013_TiOx_CRC_CaCo2_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	4.5 ppm	20 ppm	dithiothreitol (dtt)	1	1	QE2_130117_OPL1013_TiOx_CRC_CaCo2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/04/PXD001550/QE2_130117_OPL1013_TiOx_CRC_CaCo2_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Epithelial cell
