source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[project name]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[host organism]	characteristics[host subject id]	characteristics[host disease status]	characteristics[host body site]	characteristics[host body product]	characteristics[sample collection method]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sample collection method]
DC_repl1	DC_repl1	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	differential centrifugation	1	DC_repl1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	DC_repl1.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	differential centrifugation
DC_repl2	DC_repl2	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	differential centrifugation	2	DC_repl2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	DC_repl2.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	differential centrifugation
DC_repl3	DC_repl3	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	differential centrifugation	3	DC_repl3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	DC_repl3.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	differential centrifugation
DC_repl4	DC_repl4	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	differential centrifugation	4	DC_repl4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	DC_repl4.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	differential centrifugation
DC_repl5	DC_repl5	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	differential centrifugation	5	DC_repl5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	DC_repl5.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	differential centrifugation
NC_repl1	NC_repl1	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	not centrifuged	1	NC_repl1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	NC_repl1.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not centrifuged
NC_repl2	NC_repl2	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	not centrifuged	2	NC_repl2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	NC_repl2.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not centrifuged
NC_repl3	NC_repl3	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	not centrifuged	3	NC_repl3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	NC_repl3.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not centrifuged
NC_repl4	NC_repl4	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	not centrifuged	4	NC_repl4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	NC_repl4.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not centrifuged
NC_repl5	NC_repl5	human gut metagenome	feces	Stool_pretreatment_metaproteomics	feces	Italy	Homo sapiens	volunteer1	healthy	feces	stool	not centrifuged	5	NC_repl5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	NC_repl5.raw	v1.1.0	NT=human-gut;VV=v1.0.0	NT=metaproteomics;VV=v1.0.0	NT=ms-proteomics;VV=v1.1.0	manual curation	not centrifuged
