source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150122_PS_Syn_DimethylMix_Rep1_Phospho04	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep2_Phospho06	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep2_Phospho06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep2_Phospho06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_YPER05	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_YPER05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_YPER05.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_YPER05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_FASP02	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_FASP02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_FASP02.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_FASP02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_OG1	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_OG1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_OG1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20130708_PS_Phosphotest_6803wt_SDS01	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20130708_PS_Phosphotest_6803wt_SDS01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20130708_PS_Phosphotest_6803wt_SDS01.RAW	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20130708_PS_Phosphotest_6803wt_SDS01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho05	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho1	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20141031_PS_Syn6803wt_dimethyl_Mix_Phospho8	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20141031_PS_Syn6803wt_dimethyl_Mix_Phospho8.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20141031_PS_Syn6803wt_dimethyl_Mix_Phospho8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
20150122_PS_Syn_DimethylMix_Rep1_Phospho06	synechocystis sp. pcc 6803 substr. kazusa	Bacteroid	not applicable	not available	enrichment of phosphorylated protein	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=isotope labeling;AC=PRIDE:0000310	NT=orbitrap elite;AC=MS:1001910	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	isoelectric focusing	1	1	20150122_PS_Syn_DimethylMix_Rep1_Phospho06.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/05/PXD001831/20150122_PS_Syn_DimethylMix_Rep1_Phospho06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Bacteroid
