source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	1	Yeast_XP_SDS_lysc_001.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	1	Yeast_XP_SDS_lysc_002.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	3	1	Yeast_XP_SDS_lysc_003.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	1	Yeast_XP_SDS_lysc_004.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	5	1	Yeast_XP_SDS_lysc_005.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	6	1	Yeast_XP_SDS_lysc_006.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	7	1	Yeast_XP_SDS_lysc_007.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	8	1	Yeast_XP_SDS_lysc_008.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	9	1	Yeast_XP_SDS_lysc_009.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
saccharomyces_cerevisiae_reference	NT=Saccharomyces cerevisiae;AC=NCBITaxon:4932	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	SUB592	cell	1	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	10	1	Yeast_XP_SDS_lysc_010.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE (Lys-C)
