source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[cell type]	characteristics[spiked compound]	characteristics[material description]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	comment[dissociation method]	comment[annotation source]	comment[annotation provenance]	comment[organism evidence]	factor value[organism part]	factor value[spiked compound]
Sample 4	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=25 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	3	1	110618_yeast_ups_25fmol_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110618_yeast_ups_25fmol_r3.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=25 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 2	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=4 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	3	1	110714_yeast_ups1_4fmol_r4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110714_yeast_ups1_4fmol_r4.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=4 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 3	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=10 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	3	1	110616_yeast_ups_10fmol_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110616_yeast_ups_10fmol_r3.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=10 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 4	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=25 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	2	1	110618_yeast_ups_25fmol_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110618_yeast_ups_25fmol_r2.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=25 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 1	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	2	1	110714_yeast_ups1_2fmol_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110714_yeast_ups1_2fmol_r2.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 3	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=10 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	2	1	110616_yeast_ups_10fmol_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110616_yeast_ups_10fmol_r2.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=10 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 5	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=50 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	1	1	110618_yeast_ups_50fmol_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110618_yeast_ups_50fmol_r1.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=50 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 5	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=50 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 14	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	2	1	110618_yeast_ups_50fmol_r2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110618_yeast_ups_50fmol_r2.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=50 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 1	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	1	1	110714_yeast_ups1_2fmol_r1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110714_yeast_ups1_2fmol_r1.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
Sample 1	Saccharomyces cerevisiae	Cell culture	1	not available	not applicable	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich	Yeast whole-cell proteome digest spiked with a separately digested UPS1 human protein standard.	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	3	1	110714_yeast_ups1_2fmol_r3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not available	5 ppm	0.5 Da	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD002099/110714_yeast_ups1_2fmol_r3.raw	NT=CID;AC=MS:1000133	https://www.ebi.ac.uk/pride/archive/projects/PXD002099 | https://doi.org/10.1021/acs.jproteome.5b00183 | https://pmc.ncbi.nlm.nih.gov/articles/PMC9780321/	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	PRIDE project taxonomy says Candida albicans; original study describes yeast. The original author team explicitly used Saccharomyces cerevisiae plus UPS1 sequences for these PXD002099 data in RolDE (PMC9780321, Methods and Data availability). Annotation follows that author evidence; archive taxonomy conflict is recorded.	Cell culture	CT=mixture;QY=2 fmol/uL;CN=UPS1;CV=Sigma-Aldrich
