source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_01	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_03	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	3	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_03	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	3	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_1_SCX_01	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_1_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_1_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_1_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_04	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	4	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_05	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	5	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_1_SCX_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_05	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	5	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_05.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150419_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp1_TiO2_2_SCX_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_04	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	4	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_04.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_02	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	2	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_01	homo sapiens	Cell culture	not applicable	not available	enrichment of phosphorylated protein	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=q exactive;AC=MS:1001911	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	6 ppm	strong cation-exchange chromatography (scx)	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002135/20150420_QEP1_PBE_PB_U2OS_SILAC_VE821_HU_2h_exp2_TiO2_2_SCX_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	manual curation	Cell culture
