source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
HILIC_hcd_seaurchin_PF5_3_F20	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_seaurchin_PF5_3_F20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	20	1	HILIC_hcd_seaurchin_PF5_3_F20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_seaurchin_PF5_3_F20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN2_UNA_F18	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN2_UNA_F18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	18	1	HILIC_hcd_SEAURCHIN2_UNA_F18.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN2_UNA_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_cad_seaurchin_UN3_F12	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_cad_seaurchin_UN3_F12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	12	1	HILIC_cad_seaurchin_UN3_F12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_cad_seaurchin_UN3_F12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN1_PF5_F5	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN1_PF5_F5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	5	1	HILIC_hcd_SEAURCHIN1_PF5_F5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN1_PF5_F5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN1_UNA_F20	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN1_UNA_F20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	20	1	HILIC_hcd_SEAURCHIN1_UNA_F20.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN1_UNA_F20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN2_PF2_F19	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN2_PF2_F19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	19	1	HILIC_hcd_SEAURCHIN2_PF2_F19.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN2_PF2_F19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_cad_seaurchin_UN3_F15	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_cad_seaurchin_UN3_F15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	15	1	HILIC_cad_seaurchin_UN3_F15.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_cad_seaurchin_UN3_F15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN2_PF5_F1	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN2_PF5_F1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	1	1	HILIC_hcd_SEAURCHIN2_PF5_F1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN2_PF5_F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN2_PF2_F2	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN2_PF2_F2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	2	1	HILIC_hcd_SEAURCHIN2_PF2_F2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN2_PF2_F2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
HILIC_hcd_SEAURCHIN2_UNA_F9	strongylocentrotus purpuratus	Oocyte	not applicable	not available	enrichment of phosphorylated protein	1	HILIC_hcd_SEAURCHIN2_UNA_F9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	20 ppm	20 ppm	hydrophilic interaction chromatography (hilic)	dithiothreitol (dtt)	iodoacetamide (iaa)	9	1	HILIC_hcd_SEAURCHIN2_UNA_F9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/08/PXD002239/HILIC_hcd_SEAURCHIN2_UNA_F9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Oocyte
