source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[precursor mass tolerance]	comment[collision energy]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_03	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	3	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_03.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_01	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_Control_CID_120m_01	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20141030_IR_Capetillo_diGly_Control_CID_120m_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_Control_CID_120m_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_Control_CID_120m_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150127_IR_Emilio_diGly_P22_5uL	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20150127_IR_Emilio_diGly_P22_5uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150127_IR_Emilio_diGly_P22_5uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20150127_IR_Emilio_diGly_P22_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150127_IR_Emilio_diGly_ML_5uL	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20150127_IR_Emilio_diGly_ML_5uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150127_IR_Emilio_diGly_ML_5uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20150127_IR_Emilio_diGly_ML_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_01	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_01.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20150127_IR_Emilio_diGly_DMSO_5uL	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	1	20150127_IR_Emilio_diGly_DMSO_5uL	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20150127_IR_Emilio_diGly_DMSO_5uL.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20150127_IR_Emilio_diGly_DMSO_5uL.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_02	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	2	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_USP7i_P22_CID_120m_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_Control_CID_120m_02	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	2	20141030_IR_Capetillo_diGly_Control_CID_120m_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_Control_CID_120m_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_Control_CID_120m_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_02	homo sapiens	Epithelial cell	not applicable	Colon cancer	antibody enrichment	2	20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	35% NCE	dithiothreitol (dtt)	chloroacetamide (claa)	1	1	20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_02.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/01/PXD002408/20141030_IR_Capetillo_diGly_USP1i_ML_CID_120m_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Epithelial cell
