source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
PXD002536-Sample-1	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT-PMA-1_SCX-040_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT-PMA-1_SCX-040_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-2	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT-PMA-1_SCX-150_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT-PMA-1_SCX-150_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-3	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT-PMA-1_SCX-FT_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT-PMA-1_SCX-FT_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-4	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT-PMA-1_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT-PMA-1_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-5	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT2_SCX-040_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT2_SCX-040_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-6	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT2_SCX-150_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT2_SCX-150_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-7	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT2_SCX-FT_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT2_SCX-FT_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-8	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	140518_PKCdelta_WT2_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	140518_PKCdelta_WT2_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-9	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	PKCdelta_WT-PMA_SCX-040_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	PKCdelta_WT-PMA_SCX-040_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
PXD002536-Sample-10	Rattus norvegicus	heart	fetal cardiomyocyte	not available	1	PKCdelta_WT-PMA_SCX-150_TiO2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	1	1	PKCdelta_WT-PMA_SCX-150_TiO2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=sdrf-skeleton-gen;VV=v1.0.0	heart
