source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fractionation method]	comment[reduction reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
SpotID17RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID17RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID17RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID17RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
GP05analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	GP05analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	GP05analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/GP05analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID30RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID30RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID30RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID30RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID18RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID18RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID18RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID18RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
Glycopep10analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	Glycopep10analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	Glycopep10analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/Glycopep10analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID53RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID53RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID53RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID53RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID43RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID43RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID43RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID43RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID36RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID36RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID36RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID36RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID54RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID54RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID54RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID54RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
GP48analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	GP48analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	GP48analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/GP48analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
GP20analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	GP20analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	GP20analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/GP20analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
GP02analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	GP02analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	GP02analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/GP02analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID09RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID09RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID09RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID09RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
Glycopep03analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	Glycopep03analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	Glycopep03analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/Glycopep03analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID39RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID39RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID39RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID39RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
SpotID45RAW.zip	gossypium	Cotton fibre	not applicable	not available	enrichment	1	SpotID45RAW.zip	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	SpotID45RAW.zip	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/SpotID45RAW.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
Glycopep08analysis.baf	gossypium	Cotton fibre	not applicable	not available	enrichment	1	Glycopep08analysis.baf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ultraflex;AC=MS:1000201	NT=Deamidated;AC=UNIMOD:7;TA=NQ;MT=Variable	NT=Dimethyl;AC=UNIMOD:36;TA=K;MT=Variable	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	not applicable	not available	sds page	beta-mercaptoethanol (bme)	1	1	Glycopep08analysis.baf	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/11/PXD002849/Glycopep08analysis.baf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Cotton fibre
