source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[enrichment process]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF11	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC34	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC34	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC34.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC34.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF7	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC33	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC33.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150903_Velos_LC1_S_pompe_ConASept_2015_100_120min_5HCD_5ETD_LWAC33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF9_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF9_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF9_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF9_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF5	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF10	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF10.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/150911_Velos_LC1_S_pombe_ConASept_2015_100_120min_5HCD_5ETD_IEF10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF9	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF10_50	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	50	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF10_50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF10_50.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/131205_Yeast_Kre_triple_mut_TCL_131019ConA_2h_HCD_ETD_95_IEF10_50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF7	saccharomyces cerevisiae	Vegetative cell	not applicable	not available	enrichment	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=ltq orbitrap velos;AC=MS:1001742	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	1	1	140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2015/12/PXD002924/140309_AH_Yeast_Man_140308_ConA_2h_HCD_ETD_50_IEF7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Vegetative cell
