source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[strain or breed]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[pooled sample]	characteristics[material type]	characteristics[spiked compound]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[scan window lower limit]	comment[scan window upper limit]	comment[dia method]	comment[study group]	comment[data file]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	factor value[proteomics data acquisition method]
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-10_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	10	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-10_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-10_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-11_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	11	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-11_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-11_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-12_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	12	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-12_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-12_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-13_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	13	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-13_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-13_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-14_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	14	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-14_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-14_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-15_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	15	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-15_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-15_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-1_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	1	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-1_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-1_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-2_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	2	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-2_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-2_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-3_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	3	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-3_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-3_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
PXD005573_cerebellum_pool	Mus musculus	cerebellum	not applicable	normal	C57BL/6J	adult	12W-14W	not available	pooled	tissue	CT=mixture;CN=iRT kit;CV=Biognosys	1	E_D170628_S450-HPRP-Cer-15-4_MSG_R01_T0	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	4.5 ppm	20 ppm	NT=High-pH reversed-phase chromatography (hpHRP);AC=PRIDE:0000564	4	1	not applicable	not applicable	not applicable	cerebellum spectral library DDA, 15 pooled HPRP fractions	E_D170628_S450-HPRP-Cer-15-4_MSG_R01_T0.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/10/PXD005573/E_D170628_S450-HPRP-Cer-15-4_MSG_R01_T0.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=Data-dependent acquisition;AC=PRIDE:0000627
