source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
L00838_S05	L00838_S05	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00838_S05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00838_S05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00840_S11	L00840_S11	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00840_S11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00840_S11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00842_S02	L00842_S02	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00842_S02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00842_S02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00844_S08	L00844_S08	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00844_S08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00844_S08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00846_S06	L00846_S06	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00846_S06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00846_S06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00848_S22	L00848_S22	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00848_S22	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00848_S22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00850_S23	L00850_S23	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00850_S23	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00850_S23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00852_S14	L00852_S14	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00852_S14	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00852_S14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00854_S16	L00854_S16	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00854_S16	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00854_S16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
L00856_S21	L00856_S21	marine metagenome	sea water	not applicable	not available	Proteomics_of_24_bacterial_strains_from_an_artificial_microbiota_reference_to_evaluate_metaproteomics	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	L00856_S21	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=LTQ Orbitrap;AC=MS:1000449	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	not available	1	1	L00856_S21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	sea water
