source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[disease]	characteristics[material type]	characteristics[sampling site]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[treatment]	characteristics[culture medium]	characteristics[cell line authentication]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[compound]
H1993_DMSO_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dimethyl sulfoxide	not available	24 hour	untreated	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	100815_MM_ABPP_H1993_DMSO_DDA1_new	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	1	100815_MM_ABPP_H1993_DMSO_DDA1_new.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dimethyl sulfoxide
H1993_DMSO_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dimethyl sulfoxide	not available	24 hour	untreated	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	100815_MM_ABPP_H1993_DMSO_DDA2_new	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	2	100815_MM_ABPP_H1993_DMSO_DDA2_new.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dimethyl sulfoxide
H1993_DMSO_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dimethyl sulfoxide	not available	24 hour	untreated	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	100815_MM_ABPP_H1993_DMSO_DDA3_new	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	3	100815_MM_ABPP_H1993_DMSO_DDA3_new.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dimethyl sulfoxide
H1993_dactolisib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dactolisib	200 nM	24 hour	dactolisib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	093015_MM_ABPP_H1993_BEZ_DDA1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	1	093015_MM_ABPP_H1993_BEZ_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dactolisib
H1993_dactolisib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dactolisib	200 nM	24 hour	dactolisib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	093015_MM_ABPP_H1993_BEZ_DDA2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	2	093015_MM_ABPP_H1993_BEZ_DDA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dactolisib
H1993_dactolisib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dactolisib	200 nM	24 hour	dactolisib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	100815_MM_ABPP_H1993_BEZ_DDA3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	3	100815_MM_ABPP_H1993_BEZ_DDA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dactolisib
H1993_crizotinib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	crizotinib	500 nM	24 hour	crizotinib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	093015_MM_ABPP_H1993_CRIZO_DDA1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	1	093015_MM_ABPP_H1993_CRIZO_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	crizotinib
H1993_crizotinib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	crizotinib	500 nM	24 hour	crizotinib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	093015_MM_ABPP_H1993_CRIZO_DDA2	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	2	093015_MM_ABPP_H1993_CRIZO_DDA2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	crizotinib
H1993_crizotinib_live	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	crizotinib	500 nM	24 hour	crizotinib	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	100815_MM_ABPP_H1993_CRIZO_DDA3	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	3	100815_MM_ABPP_H1993_CRIZO_DDA3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	crizotinib
H1993_dasatinib_lysate	Homo sapiens	lung	epithelial cell	NCI-H1993	CVCL_1512	NCI-H1993	lung adenocarcinoma	cell line	lymph node	adult	47Y	female	not available	dasatinib (anhydrous)	10 uM	10 minute	dasatinib (anhydrous)	Roswell Park Memorial Institute 1640 Medium	STR profiling	not available	not available	1	093015_MM_ABPP_H1993_DASAT_lysate_DDA1	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Biotin:Thermo-88310;AC=UNIMOD:1031;TA=K;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	15 ppm	0.05 Da	1	1	093015_MM_ABPP_H1993_DASAT_lysate_DDA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	NT=cell-lines;VV=v1.1.0	manual curation	dasatinib (anhydrous)
