source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
a10_8902	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a10_8902	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a10_8902.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a11_7611	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a11_7611	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a11_7611.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a12_8317	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a12_8317	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a12_8317.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a1_1202	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a1_1202	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a1_1202.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a1_ii_8601	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a1_ii_8601	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a1_ii_8601.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a2_1202	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a2_1202	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a2_1202.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a3_7808	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a3_7808	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a3_7808.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a4_8801	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a4_8801	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a4_8801.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a5_7303	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a5_7303	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a5_7303.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a6_6407	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a6_6407	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a6_6407.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a7_5702	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a7_5702	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a7_5702.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
a8_2202	Hordeum vulgare	spike	not available	not available	whole plant fruit formation stage	not available	not available	not available	tissue	study sample	1	a8_2202	proteomic profiling by mass spectrometry	NT=maXis;AC=MS:1001541	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	10 ppm	0.05 Da	NT=time-of-flight;AC=MS:1000084	not available	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=Two Dimensional Polyacrylamide Gel Electrophoresis;AC=PRIDE:0000122	1	1	a8_2202.baf	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	spike
