source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[treatment]	characteristics[biological replicate]	characteristics[strain or breed]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[treatment]
ABa3	Streptococcus mutans UA159	cell culture	not applicable	not applicable	aerobic stress	3	lrgAB deletion mutant	ABa3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	ABa3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	aerobic stress
WTv4	Streptococcus mutans UA159	cell culture	not applicable	not applicable	vancomycin stress	4	wild type	WTv4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTv4.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	vancomycin stress
AB5	Streptococcus mutans UA159	cell culture	not applicable	not applicable	untreated	5	lrgAB deletion mutant	AB5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	AB5.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	untreated
WTh5	Streptococcus mutans UA159	cell culture	not applicable	not applicable	heat stress	5	wild type	WTh5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTh5.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	heat stress
AB3	Streptococcus mutans UA159	cell culture	not applicable	not applicable	untreated	3	lrgAB deletion mutant	AB3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	AB3.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	untreated
ABa5	Streptococcus mutans UA159	cell culture	not applicable	not applicable	aerobic stress	5	lrgAB deletion mutant	ABa5	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	ABa5.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	aerobic stress
WTh2	Streptococcus mutans UA159	cell culture	not applicable	not applicable	heat stress	2	wild type	WTh2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTh2.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	heat stress
WTa4	Streptococcus mutans UA159	cell culture	not applicable	not applicable	aerobic stress	4	wild type	WTa4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	WTa4.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	aerobic stress
ABa4	Streptococcus mutans UA159	cell culture	not applicable	not applicable	aerobic stress	4	lrgAB deletion mutant	ABa4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	ABa4.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	aerobic stress
ABv4	Streptococcus mutans UA159	cell culture	not applicable	not applicable	vancomycin stress	4	lrgAB deletion mutant	ABv4	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	ABv4.raw	v1.1.0	NT=ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	10 ppm	0.01 Da	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=S,T,Y	vancomycin stress
