source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[individual]	characteristics[material type]	characteristics[culture medium]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[sample storage temperature]	characteristics[genotype]	characteristics[genetic modification]	characteristics[treatment]	characteristics[compound]	characteristics[dose]	characteristics[exposure duration]	characteristics[enrichment process]	characteristics[antibody enrichment]	characteristics[synthetic peptide]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[acquisition date]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[genotype]	factor value[treatment]	factor value[antibody enrichment]
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_20170310_r1	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_20170310_r2	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_IP-Rab8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_20170310_r3	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-12	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_IP-Rab8_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_HG_20170310_r1	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-12	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_HG_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	HG-10-102-01	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_HG_20170310_r2	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-12	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_HG_IP-Rab8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	HG-10-102-01	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-I2020T_dox_HG_20170310_r3	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-I2020T	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-12	20170310_QEp6_MaSt_SA_293_LRRK2_I2020T_dox_HG_IP-Rab8_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-I2020T	HG-10-102-01	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-R1441G_dox_20170310_r1	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-R1441G	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_R1441G_dox_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-R1441G	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-R1441G_dox_20170310_r2	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-R1441G	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_R1441G_dox_IP-Rab8_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-R1441G	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-R1441G_dox_20170310_r3	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-R1441G	transfection	untreated	not applicable	not applicable	not applicable	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_R1441G_dox_IP-Rab8_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-R1441G	untreated	anti-Rab8A antibody
DOXEN_endogenous-RAB8A_LRRK2-R1441G_dox_HG_20170310_r1	Homo sapiens	kidney	not available	normal	Flp-In-T-REx cell	CVCL_U427	Flp-In-T-REx-293	late embryonic stage	not available	female	not available	not available	cell line	Dulbecco's Modified Eagle Medium	not available	not available	not available	not available	doxycycline-induced GFP-LRRK2-R1441G	transfection	HG-10-102-01	HG-10-102-01	3 uM	3 hour	sample enrichment	anti-Rab8A antibody	not synthetic	not applicable	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Q Exactive HF;AC=MS:1002523	NT=label free sample;AC=MS:1002038	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	27 NCE	NT=orbitrap;AC=MS:1000484	not available	20 ppm	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Trypsin/P;AC=MS:1001313	not applicable	not available	not available	not applicable	1	1	2017-03-11	20170310_QEp6_MaSt_SA_293_LRRK2_R1441G_dox_HG_IP-Rab8_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=sdrf-skills;VV=v0.2.0	doxycycline-induced GFP-LRRK2-R1441G	HG-10-102-01	anti-Rab8A antibody
