source name	characteristics[organism]	characteristics[organism part]	characteristics[sampling site]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[individual]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[biorepository]	characteristics[culture medium]	characteristics[passage number]	characteristics[sample storage temperature]	characteristics[material type]	characteristics[mass]	characteristics[spiked compound]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[ms2 scan range]	comment[elution conditions]	comment[fractionation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[associated data file]	comment[associated file uri]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[spiked compound]	factor value[mass]
HeLa_200ng_120min_TIMS25ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 25 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	1	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_25ms_03CT_1_A1_01_2566.d	HeLa_200ng_25ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_25ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS25ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 2	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 25 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	2	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_25ms_03CT_2_A1_01_2567.d	HeLa_200ng_25ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_25ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS25ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 3	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 25 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	3	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_25ms_03CT_3_A1_01_2568.d	HeLa_200ng_25ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_25ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS25ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 25 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	4	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_25ms_03CT_4_A1_01_2569.d	HeLa_200ng_25ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_25ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS50ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 5	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 50 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	1	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_50ms_06CT_1_A1_01_2562.d	HeLa_200ng_50ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_50ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS50ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 6	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 50 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	2	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_50ms_06CT_2_A1_01_2563.d	HeLa_200ng_50ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_50ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS50ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 50 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	3	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_50ms_06CT_3_A1_01_2564.d	HeLa_200ng_50ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_50ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS50ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 8	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	20 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 50 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	4	20180727_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_50ms_06CT_4_A1_01_2565.d	HeLa_200ng_50ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_50ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS100ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 9	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	70 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 100 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	1	20180819_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_100ms_11CT_1_A1_01_2767.d	HeLa_200ng_100ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_100ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
HeLa_200ng_120min_TIMS100ms	Homo sapiens	uterine cervix	uterine cervix	epithelial cell	cervical adenocarcinoma	HeLa S3 cell	CVCL_0058	HeLa S3	anonymized	30Y6M	female	African American or Afro-Caribbean ancestry	adult	ATCC	Dulbecco's Modified Eagle Medium	not available	-80 °C	cell line	200 ng	not applicable	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=timsTOF Pro;AC=MS:1003005	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	not available	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	52 eV;47 eV;42 eV;37 eV;32 eV	NT=time-of-flight;AC=MS:1000084	70 ppm	40 ppm	100m/z-1700m/z	100m/z-1700m/z	EASY-nLC 1200; 50 cm x 75 um i.d. C18 column (1.9 um) at 60 C; 400 nL/min; 120 min gradient 7.5-27.5% B (60 min), 37.5% B (30 min), 55% B (10 min); TIMS ramp and accumulation time 100 ms; 10 PASEF MS/MS scans per acquisition cycle; precursor target intensity 20000 a.u.	not applicable	1	2	20180819_TIMS2_12-2_AnBr_SA_200ng_HeLa_50cm_120min_100ms_11CT_2_A1_01_2768.d	HeLa_200ng_100ms_raw.zip	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/11/PXD010012/HeLa_200ng_100ms_raw.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	NT=sdrf-skills;VV=v0.2.0	not applicable	200 ng
