source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sample type]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[collision energy]	comment[ms1 scan range]	comment[ms min charge]	comment[ms max charge]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[cell line]
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_01_rerun_RA1_01_1915	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	1	1	FE_rt4a_5of15ul_01_rerun_RA1_01_1915.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_02_rerun_RA2_01_1916	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	2	1	FE_rt4a_5of15ul_02_rerun_RA2_01_1916.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_03_rerun_RA3_01_1917	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	3	1	FE_rt4a_5of15ul_03_rerun_RA3_01_1917.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_04_rerun_RA4_01_1918	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	4	1	FE_rt4a_5of15ul_04_rerun_RA4_01_1918.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_05_rerun_RA5_01_1919	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	5	1	FE_rt4a_5of15ul_05_rerun_RA5_01_1919.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_06_rerun_RA6_01_1920	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	6	1	FE_rt4a_5of15ul_06_rerun_RA6_01_1920.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_07_rerun_RA7_01_1921	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	7	1	FE_rt4a_5of15ul_07_rerun_RA7_01_1921.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_08_rerun_RA8_01_1922	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	8	1	FE_rt4a_5of15ul_08_rerun_RA8_01_1922.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_09_rerun_RA9_01_1923	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	9	1	FE_rt4a_5of15ul_09_rerun_RA9_01_1923.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
RT4	Homo sapiens	urinary bladder	urinary bladder carcinoma	not available	cell line	RT4	CVCL_0036	RT-4	63Y	male	European ancestry	adult	study sample	1	FE_rt4a_5of15ul_10_rerun_RA10_01_1924	proteomic profiling by mass spectrometry	NT=impact II;AC=MS:1002666	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	NT=SDS PAGE;AC=PRIDE:0000568	not available	40 ppm	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Chloroacetamide (ClAA);AC=PRIDE:0000600	not available	150m/z-2200m/z	2	5	10	1	FE_rt4a_5of15ul_10_rerun_RA10_01_1924.d.zip	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	RT4
