source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_1	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EN_M.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_2	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EO_LC.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_3	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EO_H.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_4	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161007_334_BW_EM_H.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_5	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EN_L.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_6	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EN_LC.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_7	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161006_334_BW_EM_LC.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_8	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EN_H.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_9	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161007_334_BW_EM_M.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_10	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EO_M.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_11	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	170113_368_BW_EO_L.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_12	Escherichia coli	cell	not available	1	not available	Proteomic profiling by mass spectrometry	proteomic profiling by mass spectrometry	1	161007_334_BW_EM_L.raw	v1.1.0	Data-dependent acquisition	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	15 mmu	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=ms-proteomics;VV=v1.1.0
