source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[material type]	characteristics[sample type]	characteristics[pooled sample]	characteristics[biological replicate]	characteristics[sampling time]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[reduction reagent]	comment[alkylation reagent]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[sampling time]
Chlam_cellcycle_01	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_01	Chlam_cellcycle_01_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_01_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_01
Chlam_cellcycle_02	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_02	Chlam_cellcycle_02_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_02_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_02
Chlam_cellcycle_03	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_03	Chlam_cellcycle_03_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_03_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_03
Chlam_cellcycle_04	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_04	Chlam_cellcycle_04_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_04_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_04
Chlam_cellcycle_05	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_05	Chlam_cellcycle_05_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_05_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_05
Chlam_cellcycle_06	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_06	Chlam_cellcycle_06_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_06_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_06
Chlam_cellcycle_07	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_07	Chlam_cellcycle_07_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_07_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_07
Chlam_cellcycle_08	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_08	Chlam_cellcycle_08_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_08_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_08
Chlam_cellcycle_09	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_09	Chlam_cellcycle_09_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_09_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_09
Chlam_cellcycle_10	Chlamydomonas reinhardtii	not applicable	flagellate	normal	not available	CC-5390	photobioreactor HSM, 28 C day / 18 C night, 200 umol photons m-2 s-1	untreated	cell	study sample	not pooled	1	cellcycle_10	Chlam_cellcycle_10_Run1_23Nov16_Pippin_16-09-11	proteomic profiling by mass spectrometry	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=beam-type collision-induced dissociation;AC=MS:1000422	30 NCE	not available	not available	NT=orbitrap;AC=MS:1000484	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	not applicable	1	1	Chlam_cellcycle_10_Run1_23Nov16_Pippin_16-09-11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=plants;VV=v1.1.0	manual curation	cellcycle_10
