source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
20130922_Pchrys01	20130922_Pchrys01	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys02	20130922_Pchrys02	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys03	20130922_Pchrys03	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys04	20130922_Pchrys04	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys05	20130922_Pchrys05	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys06	20130922_Pchrys06	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys07	20130922_Pchrys07	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys08	20130922_Pchrys08	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys09	20130922_Pchrys09	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys10	20130922_Pchrys10	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys11	20130922_Pchrys11	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys11	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
20130922_Pchrys12	20130922_Pchrys12	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	20130922_Pchrys12	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	20130922_Pchrys12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101607	2013101607	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101607	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101607.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101608	2013101608	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101608	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101608.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101609	2013101609	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101609	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101609.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101610	2013101610	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101610	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101610.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101611	2013101611	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101611	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101611.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101612	2013101612	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101612	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101612.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101613	2013101613	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101613	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101613.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101614	2013101614	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101614	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101614.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101615	2013101615	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101615	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101615.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101616	2013101616	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101616	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101616.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101617	2013101617	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101617	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101617.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
2013101618	2013101618	metagenome	not available	not applicable	not available	Interspecies_and_intersubstrate_comparison_of_the_biomass-degrading_capacity_of_five_filamentous_fungi	not available	not available	not available	not available	not available	not available	1	2013101618	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	1	1	2013101618.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
