source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[environmental medium]	characteristics[microbiome source]	characteristics[host organism]	characteristics[host body site]	characteristics[host disease status]	characteristics[surgical procedure]	characteristics[biological replicate]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[host body site]	factor value[surgical procedure]
RYGB_14_Gate-13	RYGB_14_Gate-13	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	not available	not available	Roux-en-Y gastric bypass	1	RYGB_14_Gate-13	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_14_Gate-13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	not available	Roux-en-Y gastric bypass
RYGB_14_Gate-16	RYGB_14_Gate-16	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	not available	not available	Roux-en-Y gastric bypass	1	RYGB_14_Gate-16	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_14_Gate-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	not available	Roux-en-Y gastric bypass
RYGB_18_Gate-16	RYGB_18_Gate-16	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	not available	not available	Roux-en-Y gastric bypass	1	RYGB_18_Gate-16	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_18_Gate-16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	not available	Roux-en-Y gastric bypass
RYGB_9_Gate-14	RYGB_9_Gate-14	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	not available	not available	Roux-en-Y gastric bypass	1	RYGB_9_Gate-14	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_9_Gate-14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	not available	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_14-2	RYGB_Biliopancreatic_14-2	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_14-2	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_14-2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_14-3	RYGB_Biliopancreatic_14-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_14-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_14-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_14-4	RYGB_Biliopancreatic_14-4	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_14-4	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_14-4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_14-5	RYGB_Biliopancreatic_14-5	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_14-5	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_14-5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_15-1	RYGB_Biliopancreatic_15-1	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_15-1	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_15-1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
RYGB_Biliopancreatic_18-3	RYGB_Biliopancreatic_18-3	rat gut metagenome	not applicable	not applicable	not available	not available	gut microbiome	Rattus norvegicus	biliopancreatic limb	not available	Roux-en-Y gastric bypass	1	RYGB_Biliopancreatic_18-3	proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive;AC=MS:1001911	not applicable	NT=collision-induced dissociation;AC=MS:1000133	1	RYGB_Biliopancreatic_18-3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	biliopancreatic limb	Roux-en-Y gastric bypass
