source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[sdrf template]
Sample1	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay1	proteomic profiling by mass spectrometry	1	190516_RND1_5_4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample2	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay2	proteomic profiling by mass spectrometry	1	190516_pRD2_5_6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample3	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay3	proteomic profiling by mass spectrometry	1	190516_RND1_5_5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample4	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay4	proteomic profiling by mass spectrometry	1	190516_pRD2_8_5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample5	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay5	proteomic profiling by mass spectrometry	1	190516_RND1_8_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample6	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay6	proteomic profiling by mass spectrometry	1	190516_pRD2_8_4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample7	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay7	proteomic profiling by mass spectrometry	1	190516_pRD2_8_6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample8	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay8	proteomic profiling by mass spectrometry	1	190516_RND1_8_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample9	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay9	proteomic profiling by mass spectrometry	1	190516_pRD2_5_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample10	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay10	proteomic profiling by mass spectrometry	1	190516_RND1_8_6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample11	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay11	proteomic profiling by mass spectrometry	1	190516_RND1_5_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample12	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay12	proteomic profiling by mass spectrometry	1	190516_RND1_8_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample13	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay13	proteomic profiling by mass spectrometry	1	190516_RND1_8_4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample14	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay14	proteomic profiling by mass spectrometry	1	190516_pRD2_5_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample15	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay15	proteomic profiling by mass spectrometry	1	190516_RND1_8_5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	15	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample16	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay16	proteomic profiling by mass spectrometry	1	190516_RND1_5_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	16	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample17	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay17	proteomic profiling by mass spectrometry	1	190516_pRD2_5_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	17	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample18	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay18	proteomic profiling by mass spectrometry	1	190516_pRD2_8_3.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	18	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample19	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay19	proteomic profiling by mass spectrometry	1	190516_pRD2_8_1.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	19	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample20	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay20	proteomic profiling by mass spectrometry	1	190516_RND1_5_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	20	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample21	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay21	proteomic profiling by mass spectrometry	1	190516_RND1_5_6.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	21	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample22	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay22	proteomic profiling by mass spectrometry	1	190516_pRD2_5_5.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	22	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample23	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay23	proteomic profiling by mass spectrometry	1	190516_pRD2_8_2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	23	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
Sample24	Escherichia coli	NT=culture;AC=not available	not available	1	not available	Assay24	proteomic profiling by mass spectrometry	1	190516_pRD2_5_4.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=orbitrap fusion etd;AC=MS:1002417	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	24	NT=collision-induced dissociation;AC=MS:1000133	20 ppm	0.5 Da	not available	NT=ms-proteomics;VV=v1.1.0
