source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
8112TQ_01	8112TQ_01	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_01	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_02	8112TQ_02	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_02	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_03	8112TQ_03	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_03	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_04	8112TQ_04	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_04	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_05	8112TQ_05	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_05	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_06	8112TQ_06	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_06	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_07	8112TQ_07	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_07	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_08	8112TQ_08	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_08	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_09	8112TQ_09	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_09	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_09.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
8112TQ_10	8112TQ_10	Synechococcus sp. yx04-3	Cell culture	not applicable	not available	Meta-genomic_and_proteomic_insights_into_photoautotrophic_and_heterotrophic_interactions_in_a_Synechococcus_culture	sea water	sea water	not available	not available	not available	not available	marine microbiome	1	8112TQ_10	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	8112TQ_10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	NT=water;VV=v1.0.0	manual curation	Cell culture
