source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[fractionation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[fractionation method]
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	1	170106_V2_PM3_CHi_D39_WT_logBR1_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	1	170106_V2_PM3_CHi_D39_WT_logBR1_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	3	1	170106_V2_PM3_CHi_D39_WT_logBR1_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	4	1	170106_V2_PM3_CHi_D39_WT_logBR1_4.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	5	1	170106_V2_PM3_CHi_D39_WT_logBR1_5.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	6	1	170106_V2_PM3_CHi_D39_WT_logBR1_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	7	1	170106_V2_PM3_CHi_D39_WT_logBR1_7.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	8	1	170106_V2_PM3_CHi_D39_WT_logBR1_8.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	9	1	170106_V2_PM3_CHi_D39_WT_logBR1_9.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	1	run_10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	10	1	170106_V2_PM3_CHi_D39_WT_logBR1_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	2	run_11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	1	1	170107_V2_PM3_CHi_D39_WT_logBR2_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
spneumo_d39_wt	NT=Streptococcus pneumoniae;AC=NCBITaxon:373153	not applicable	not applicable	NT=normal;AC=PATO:0000461	not available	not available	not available	D39 / NCTC 7466	cell	2	run_12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=collision-induced dissociation;AC=MS:1000133	gel electrophoresis	10 ppm	0.5 Da	2	1	170107_V2_PM3_CHi_D39_WT_logBR2_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	SDS-PAGE GeLC
