source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[laterality]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]	factor value[organism part]
IP5	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	ipsilateral	5	161222_IP5_Banda4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	4	1	161222_IP5_Banda4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
SIP2	Mus musculus	brain	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	ipsilateral	2	161222_SIP2_Banda4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	4	1	161222_SIP2_Banda4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	brain
CL4	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	contralateral	4	161222_CL4_Banda4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	4	1	161222_CL4_Banda4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
SCL3	Mus musculus	brain	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	contralateral	3	161222_SCL3_Banda4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	4	1	161222_SCL3_Banda4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	brain
CL1	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	contralateral	1	161222_CL1_Banda3	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	3	1	161222_CL1_Banda3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
CL5	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	contralateral	5	170110_CL5_Banda2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	2	1	170110_CL5_Banda2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
IP8	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	ipsilateral	8	170110_IP8_Banda2	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	2	1	170110_IP8_Banda2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
SCL4	Mus musculus	brain	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	contralateral	4	161222_SCL4_Banda4	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	4	1	161222_SCL4_Banda4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	brain
SCL4	Mus musculus	brain	not applicable	tissue	normal	adult	not available	C57BL/6	wild type	contralateral	4	170105_SCL4_Banda5	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	5	1	170105_SCL4_Banda5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	normal	brain
CL1	Mus musculus	brain	not applicable	tissue	ischemic stroke	adult	not available	C57BL/6	wild type	contralateral	1	161021_CL1_Banda1	proteomic profiling by mass spectrometry	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	20 ppm	1	1	161021_CL1_Banda1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	manual curation	ischemic stroke	brain
