source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[cell type]	material type	characteristics[biological replicate]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[sdrf version]	comment[sdrf template]	comment[proteomics data acquisition method]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]		comment[file uri]	comment[data file]
PXD016986-Sample-1	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160129_V2_PM3_FB_StM_R30_RZ12_27_4.raw	160129_V2_PM3_FB_StM_R30_RZ12_27_4.raw
PXD016986-Sample-2	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160131_V2_PM3_FB_StM_R30_Hom_12_8.raw	160131_V2_PM3_FB_StM_R30_Hom_12_8.raw
PXD016986-Sample-3	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160210_V2_PM3_FB_StM_R32_Hom_34_8.raw	160210_V2_PM3_FB_StM_R32_Hom_34_8.raw
PXD016986-Sample-4	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160204_V2_PM3_FB_StM_R18_RZ23_30_6.raw	160204_V2_PM3_FB_StM_R18_RZ23_30_6.raw
PXD016986-Sample-5	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160127_V2_PM3_fb_StM_R30_RZ15_25_2.raw	160127_V2_PM3_fb_StM_R30_RZ15_25_2.raw
PXD016986-Sample-6	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160219_V2_PM3_FB_StM_R28_RZ16_40_2.raw	160219_V2_PM3_FB_StM_R28_RZ16_40_2.raw
PXD016986-Sample-7	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160119_V2_PM3_CH_StM_R29_Hom_13_1.raw	160119_V2_PM3_CH_StM_R29_Hom_13_1.raw
PXD016986-Sample-8	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160210_V2_PM3_FB_StM_R32_Hom_34_9.raw	160210_V2_PM3_FB_StM_R32_Hom_34_9.raw
PXD016986-Sample-9	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160111_V2_PM3_CH_StM_R31_RZ07_17_5.raw	160111_V2_PM3_CH_StM_R31_RZ07_17_5.raw
PXD016986-Sample-10	Riftia pachyptila	not applicable	not available	not available	not available	not available	cell	1	not available	not available	run 1	proteomic profiling by mass spectrometry	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Data-Dependent Acquisition;AC=PRIDE:0000627	1	1	AC=MS:1002038;NT=label free sample	NT=LTQ Orbitrap Velos;AC=MS:1001742	20 ppm	20 ppm	AC=MS:1000133;NT=CID	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	/mnt/daicx/pvc-afbfaa68-aa52-416c-b273-64fb016fd745/PXD016986/160212_V2_PM3_FB_StM_R32_RZ06_36_9.raw	160212_V2_PM3_FB_StM_R32_RZ06_36_9.raw
