source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	characteristics[material type]	characteristics[treatment]	characteristics[treatment]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[individual]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	characteristics[sampling site]	characteristics[passage number]	characteristics[biorepository]	characteristics[cell line authentication]	characteristics[culture medium]	characteristics[sample storage temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[fractionation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	factor value[source name]
MD55A3-SS-untreated-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 1	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-untreated-1
MD55A3-SS-ifn-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	Interferon Gamma	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s1_IFN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn-1
MD55A3-SS-ifn_mg132-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	Interferon Gamma	Proteasome Inhibitor MG-132	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s1__.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn_mg132-1
MD55A3-SS-mg132-1	homo sapiens	cell culture	melanoma cell	1	melanoma	cell line	Proteasome Inhibitor MG-132	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s1_mg.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-mg132-1
MD55A3-SS-untreated-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-untreated-2
MD55A3-SS-ifn-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	Interferon Gamma	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s2_IFN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn-2
MD55A3-SS-ifn_mg132-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	Interferon Gamma	Proteasome Inhibitor MG-132	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s2___rerun.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn_mg132-2
MD55A3-SS-mg132-2	homo sapiens	cell culture	melanoma cell	2	melanoma	cell line	Proteasome Inhibitor MG-132	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s2_mg.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-mg132-2
MD55A3-SS-untreated-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	untreated	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-untreated-3
MD55A3-SS-ifn-3	homo sapiens	cell culture	melanoma cell	3	melanoma	cell line	Interferon Gamma	not applicable	not available	not available	not available	not available	MD55A3	not available	not available	not available	not available	not available	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	1	20190710_HFX_Project_324_2_Remco_s3_IFN.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=HCD;AC=MS:1000422	not applicable	26 NCE	50 ppm	0.06 Da	not available	not available	NT=Carbamidomethyl;MT=fixed;TA=C;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=variable;PP=Protein N-term;TA=*;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	375m/z-1500m/z	200m/z-2000m/z	MD55A3-SS-ifn-3
