source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[material description]	assay name	technology type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[annotation source]	comment[sdrf annotation tool]	comment[annotation provenance]	comment[modification parameters]	factor value[spiked compound]
HYpro16 TMT126	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=0	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT126	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=0
HYpro16 TMT127N	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT127N	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20
HYpro16 TMT127C	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT127C	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20
HYpro16 TMT128N	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT128N	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/20
HYpro16 TMT128C	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT128C	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10
HYpro16 TMT129N	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT129N	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10
HYpro16 TMT129C	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT129C	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/10
HYpro16 TMT130N	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT130N	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4
HYpro16 TMT130C	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT130C	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4
HYpro16 TMT131N	Homo sapiens	not available	not available	not applicable	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4	1	TMTpro16-labeled peptide mixture derived from human HCT116 cells and Saccharomyces cerevisiae BY4716 cells; human background is retained in every channel, including yeast-free channels.	run 1	proteomic profiling by mass spectrometry	TMT131N	AC=MS:1002732;NT=Orbitrap Fusion Lumos	50 ppm	0.03 Da	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=Fixed;AC=UNIMOD:4	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=TMTpro;AC=UNIMOD:2016;TA=K;MT=Fixed	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/08/PXD020815/a18182.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	a18182.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	https://www.ebi.ac.uk/pride/archive/projects/PXD020815 | https://doi.org/10.1021/jasms.0c00299	not available	OpenAI Codex-assisted curation with primary-source and archive-file cross-checks	NT=TMTpro;AC=UNIMOD:2016;PP=Any N-term;MT=Fixed	CT=spike-in;CN=Saccharomyces cerevisiae;CR=yeast:human=1/4
