source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	factor value[growth condition]
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	1	run_1	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51248_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	2	run_2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51249_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	3	run_3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51250_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	4	run_4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51251_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	5	run_5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51252_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_Pooled_sera	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	pooled human serum	cell	6	run_6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51253_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	pooled human serum
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	1	run_7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51242_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	2	run_8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51243_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	3	run_9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51244_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
spyogenes_5448_RPMI	Streptococcus pyogenes	not applicable	not applicable	normal	not available	not available	not available	5448	RPMI medium	cell	4	run_10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	51245_SEP_MBPF_MS_QEPlus1_P16_0062_Exp17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	RPMI medium
