source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[genotype]	characteristics[biological replicate]	assay name	technology type	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[disease]
3xTg_F16	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	16	3xTg-F16	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F7	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	7	3xTg-F7	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F17	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	17	3xTg-F17	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F6	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	6	3xTg-F6	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F19	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	19	3xTg--F19	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg--F19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F8	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	8	3xTg-F8	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F10	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	10	3xTg-F10	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F20	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	20	3xTg--F20	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg--F20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F22	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	22	3xTg--F22	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg--F22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F18	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	18	3xTg-F18	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F3	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	3	3xTg-F3	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F11	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	11	3xTg-F11	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F1	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	1	3xTg-F1	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F14	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	14	3xTg-F14	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F14.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
3xTg_F13	Mus musculus	hippocampal formation	not applicable	tissue	Alzheimer disease	adult	female	not available	3xTg-AD	13	3xTg-F13	proteomic profiling by mass spectrometry	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	20 ppm	1	1	3xTg-F13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=clinical-metadata;VV=v1.0.0	NT=dia-acquisition;VV=v1.1.0	manual curation	Alzheimer disease
