source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[sex]	characteristics[biological replicate]	assay name	technology type	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[modification parameters]	factor value[treatment]
Q25627_MS19-037_Se31_T2	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25627_MS19-037_Se31_T2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25627_MS19-037_Se31_T2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25620_MS19-037_Se21_T1	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25620_MS19-037_Se21_T1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25620_MS19-037_Se21_T1.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25625_MS19-037_Se11_T2	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25625_MS19-037_Se11_T2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25625_MS19-037_Se11_T2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25626_MS19-037_Se21_T2	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25626_MS19-037_Se21_T2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25626_MS19-037_Se21_T2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25629_MS19-037_C21_T3	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25629_MS19-037_C21_T3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25629_MS19-037_C21_T3.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	control
Q25616_MS19-037_C11_T1	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25616_MS19-037_C11_T1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25616_MS19-037_C11_T1.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	control
Q25619_MS19-037_Se11_T1	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25619_MS19-037_Se11_T1	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25619_MS19-037_Se11_T1.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25633_MS19-037_Se31_T2	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25633_MS19-037_Se31_T2	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25633_MS19-037_Se31_T2.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
Q25630_MS19-037_C31_T3	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25630_MS19-037_C31_T3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25630_MS19-037_C31_T3.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	control
Q25632_MS19-037_Se21_T3	Stenotrophomonas bentonitica	not applicable	not applicable	not applicable	1	Q25632_MS19-037_Se21_T3	proteomic profiling by mass spectrometry	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	Data-dependent acquisition	NT=Trypsin;AC=MS:1001251	1	1	Q25632_MS19-037_Se21_T3.raw	v1.1.0	NT=sonnet-5-ollama-gemma2-9b;VV=v0.1.0	NT=ms-proteomics;VV=v1.1.0	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	sodium selenite treatment
