source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[microbiome source]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1.mzid_Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1	Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1.mzid_Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1.mzid_Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1.mzid_Experiment_Chiara_WC1T0_from_OT_190822_37_MS19-198_WC1T0_1.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1.mzid_Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1	Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1.mzid_Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1.mzid_Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1.mzid_Experiment_Chiara_WC1T18_from_OT_190822_37_MS19-198_WC1T18_1.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1.mzid_Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1	Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1.mzid_Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1.mzid_Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1.mzid_Experiment_Chiara_WC1T7_from_OT_190822_37_MS19-198_WC1T7_1.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2.mzid_Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2	Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2.mzid_Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2.mzid_Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2.mzid_Experiment_Chiara_WC2T0_from_OT_190822_37_MS19-198_WC1T0_2.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2.mzid_Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2	Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2.mzid_Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2.mzid_Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2.mzid_Experiment_Chiara_WC2T18_from_OT_190822_37_MS19-198_WC1T18_2.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2.mzid_Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2	Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2.mzid_Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2.mzid_Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2.mzid_Experiment_Chiara_WC2T7_from_OT_190822_37_MS19-198_WC1T7_2.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3.mzid_Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3	Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3.mzid_Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3.mzid_Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3.mzid_Experiment_Chiara_WC3T0_from_OT_190822_37_MS19-198_WC1T0_3.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3.mzid_Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3	Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3.mzid_Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3.mzid_Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3.mzid_Experiment_Chiara_WC3T18_from_OT_190822_37_MS19-198_WC1T18_3.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3.mzid_Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3	Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3.mzid_Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3.mzid_Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3.mzid_Experiment_Chiara_WC3T7_from_OT_190822_37_MS19-198_WC1T7_3.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1.mzid_Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1	Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1.mzid_Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1	Wastewater metagenome	wastewater	not applicable	not available	Impact_of_sulfamethoxazole_on_a_riverine_microbiome	wastewater	wastewater	not available	not available	not available	not available	wastewater microbiome	1	Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1.mzid_Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1	proteomic profiling by mass spectrometry	Data-dependent acquisition	NT=label free sample;AC=MS:1002038	NT=Orbitrap Fusion;AC=MS:1002416	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=ST;MT=Variable	NT=Trypsin;AC=MS:1001251	NT=collision-induced dissociation;AC=MS:1000133	1	1	Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1.mzid_Experiment_Chiara_WS1T0_from_OT_190822_37_MS19-198_WS1T0_1.MGF	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation	wastewater
