source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]
4_2	Staphylococcus aureus	not available	1	4_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	4_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
T1	Staphylococcus aureus	not available	1	T1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	T1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
T3	Staphylococcus aureus	not available	1	T3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	T3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
3_2	Staphylococcus aureus	not available	1	3_2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	3_2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
T4	Staphylococcus aureus	not available	1	T4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	T4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
4_3	Staphylococcus aureus	not available	1	4_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	4_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
PlusAB1	Staphylococcus aureus	not available	1	PlusAB1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	PlusAB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
C2	Staphylococcus aureus	not available	1	C2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	C2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
1_1	Staphylococcus aureus	not available	1	1_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	1_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
3_1	Staphylococcus aureus	not available	1	3_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	3_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
T2	Staphylococcus aureus	not available	1	T2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	T2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
CN1	Staphylococcus aureus	not available	1	CN1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	CN1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
MinusAB3	Staphylococcus aureus	not available	1	MinusAB3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	1	MinusAB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation
