source name	characteristics[sample name]	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[project name]	characteristics[environmental sample type]	characteristics[environmental medium]	characteristics[geographic location]	characteristics[collection date]	characteristics[sample collection method]	characteristics[sample storage]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]
Run1_Ecol_R1b_10_U50_C213CL50_400ng.msf	Run1_Ecol_R1b_10_U50_C213CL50_400ng.msf	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U50_C213CL50_400ng.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U50_C213CL50_400ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U50_C213CL50_400ng	Run1_Ecol_R1b_10_U50_C213CL50_400ng	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U50_C213CL50_400ng	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U50_C213CL50_400ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U50_FL50_400ng.msf	Run1_Ecol_R1b_10_U50_FL50_400ng.msf	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U50_FL50_400ng.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U50_FL50_400ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U50_FL50_400ng	Run1_Ecol_R1b_10_U50_FL50_400ng	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U50_FL50_400ng	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U50_FL50_400ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U90_C213CL10_400ng.msf	Run1_Ecol_R1b_10_U90_C213CL10_400ng.msf	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U90_C213CL10_400ng.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U90_C213CL10_400ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U90_C213CL10_400ng	Run1_Ecol_R1b_10_U90_C213CL10_400ng	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U90_C213CL10_400ng	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U90_C213CL10_400ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U95_C213CL5_400ng.msf	Run1_Ecol_R1b_10_U95_C213CL5_400ng.msf	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U95_C213CL5_400ng.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U95_C213CL5_400ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U95_C213CL5_400ng	Run1_Ecol_R1b_10_U95_C213CL5_400ng	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U95_C213CL5_400ng	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U95_C213CL5_400ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U99_C213CL1_400ng.msf	Run1_Ecol_R1b_10_U99_C213CL1_400ng.msf	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U99_C213CL1_400ng.msf	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U99_C213CL1_400ng.msf	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
Run1_Ecol_R1b_10_U99_C213CL1_400ng	Run1_Ecol_R1b_10_U99_C213CL1_400ng	Escherichia coli	not available	not applicable	not available	Mixing_of_Escherichia_coli_cells_labeled_with_13C_glucose_with_unlabeled_E._coli_cells_for_benchmarking_of_protein-based_stable_isotope_probing_proteomics_Protein-SIP	not available	not available	7.6, 0.1	not available	not available	not available	1	Run1_Ecol_R1b_10_U99_C213CL1_400ng	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Trypsin;AC=MS:1001251	not available	1	1	Run1_Ecol_R1b_10_U99_C213CL1_400ng.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=metaproteomics;VV=v1.0.0	manual curation
