source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[sdrf template]
Ecoli_1	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	1	QX1_20_0980.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_2	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	2	QX1_20_0651.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	2	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_3	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	3	QX1_20_0808.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	3	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_4	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	4	QX1_20_0826.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	4	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_5	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	5	QX1_20_0978.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	5	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_6	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	6	QX1_20_0816.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	6	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_7	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	7	QX1_20_0810.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	7	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_8	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	8	QX1_20_0766.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	8	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_9	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	9	QX1_20_0845.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	9	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_10	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	10	QX1_20_0834.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	10	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_11	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	11	QX1_20_0840.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	11	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_12	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	12	QX1_20_0806.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	12	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
Ecoli_13	Escherichia coli	cell	not available	1	not available	LC-MS/MS	proteomic profiling by mass spectrometry	13	QX1_20_0814.raw	v1.1.0	Data-dependent acquisition	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	label free sample	13	NT=collision-induced dissociation;AC=MS:1000133	not available	not available	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=S,T,Y;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	NT=ms-proteomics;VV=v1.1.0
