source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]
Sample_1	Escherichia coli	not available	not available	1	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_Full_1in2_2ul.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	1	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_2	Escherichia coli	not available	not available	2	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_302_1in2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	2	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_3	Escherichia coli	not available	not available	3	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_301_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	3	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_4	Escherichia coli	not available	not available	4	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_202_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	4	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_5	Escherichia coli	not available	not available	5	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_304_1in2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	5	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_6	Escherichia coli	not available	not available	6	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_201_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	6	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_7	Escherichia coli	not available	not available	7	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_303_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	7	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_8	Escherichia coli	not available	not available	8	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_302_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	8	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_9	Escherichia coli	not available	not available	9	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_305_1in2_2ul.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	9	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_10	Escherichia coli	not available	not available	10	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_204_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	10	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_11	Escherichia coli	not available	not available	11	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_301_1in2.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	11	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_12	Escherichia coli	not available	not available	12	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_203_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	12	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_13	Escherichia coli	not available	not available	13	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	EE041120_205_A.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	13	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
Sample_14	Escherichia coli	not available	not available	14	not available	LC-MS/MS_proteomics	proteomic profiling by mass spectrometry	1	VH_110220_303_1in2_2ul.raw	v1.1.0	NT=data-dependent acquisition;AC=MS:1003221	NT=q exactive hf;AC=MS:1002523	NT=trypsin;AC=MS:1001251	NT=label free sample;AC=MS:1002038	14	NT=Higher-energy collisional dissociation	10 ppm	0.01 Da	NT=Carbamidomethylation of cysteine; NT=label [13C6][15N2]lysine; NT=label [13C6][15N4]arginine; NT=oxidation of methionine
