source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[strain or breed]	characteristics[growth condition]	characteristics[treatment]	characteristics[growth phase]	characteristics[pooled sample]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[dissociation method]	comment[collision energy]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[ms2 scan range]	comment[acquisition date]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[growth condition]
Lmono_EGDe_LB_noninduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-07T18:34:40	1	1	TA60_LB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_LB_noninduced_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-07T20:13:42	1	1	TA61_LB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_LB_noninduced_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-07T21:52:29	1	1	TA62_LB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_LB_eutInduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	Cobalamin	early stationary phase	not pooled	1	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-07T23:31:26	1	1	TA63_LB_Eut1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_LB_eutInduced_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	Cobalamin	early stationary phase	not pooled	2	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T01:09:47	1	1	TA64_LB_Eut2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_LB_eutInduced_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	LB medium with 15 mM ethanolamine, anaerobic, 30 C	Cobalamin	early stationary phase	not pooled	3	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T02:47:09	1	1	TA65_LB_Eut3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin	LB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_MWB_noninduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	1	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T13:19:55	1	1	TA66a_MWB1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	MWB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_MWB_noninduced_rep2	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	2	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T15:00:13	1	1	TA67a_MWB2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	MWB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_MWB_noninduced_rep3	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with 15 mM ethanolamine, anaerobic, 30 C	not applicable	early stationary phase	not pooled	3	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T16:38:27	1	1	TA68a_MWB3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not applicable	MWB medium with 15 mM ethanolamine, anaerobic, 30 C
Lmono_EGDe_MWB_eutInduced_rep1	Listeria monocytogenes EGD-e	not applicable	not applicable	not applicable	whole organism	EGD-e	MWB medium with 15 mM ethanolamine, anaerobic, 30 C	Cobalamin	early stationary phase	not pooled	1	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF-X;AC=MS:1002877	NT=label free sample;AC=MS:1002038	NT=Trypsin/P;AC=MS:1001313	NT=Propionamide;AC=UNIMOD:24;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=Variable	20 ppm	NT=beam-type collision-induced dissociation;AC=MS:1000422	24% NCE	NT=orbitrap;AC=MS:1000484	380m/z-1400m/z	200m/z-2000m/z	2019-10-08T18:16:23	1	1	TA69_MWB_Eut1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Cobalamin	MWB medium with 15 mM ethanolamine, anaerobic, 30 C
