source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[technical replicate]	comment[fraction identifier]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[organism part]
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_5	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F3_2_06	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F3_2_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F3_2_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_1_06	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_1_06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_1_06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_3	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_TRAP_2_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_7	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_collagen_1_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_7	Ursus arctos horribilis	Blood plasma	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200905_EXPL3_JoMu_SA_LC11_TZ_stim_sup_U46_2_7.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200724_EXPL2_JoMu_SA_Thrombo_1_08	Ursus arctos horribilis	Blood plasma	1	20200724_EXPL2_JoMu_SA_Thrombo_1_08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200724_EXPL2_JoMu_SA_Thrombo_1_08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_3_1_K3_Inh_un	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_3_1_K3_Inh_un	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_3_1_K3_Inh_un.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20210728_EXPL0_LiSc_SA_5_1_K5_Inh_un_Phospho	Ursus arctos horribilis	Blood plasma	1	20210728_EXPL0_LiSc_SA_5_1_K5_Inh_un_Phospho	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20210728_EXPL0_LiSc_SA_5_1_K5_Inh_un_Phospho.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
20200619_EXPL2_JoMu_SA_Plasma_F1_2_02	Ursus arctos horribilis	Blood plasma	1	20200619_EXPL2_JoMu_SA_Plasma_F1_2_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=label free sample;AC=MS:1002038	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=Trypsin;AC=MS:1001251	1	1	20200619_EXPL2_JoMu_SA_Plasma_F1_2_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	manual curation	Blood plasma
