source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[material type]	characteristics[colony type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms1 scan range]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[colony type]
Xretro_not-interacting_1	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	not interacting	1	20161129_Homepacked20161011_15cm_JakobH_A	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_A.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not interacting
Xretro_not-interacting_2	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	not interacting	2	20161129_Homepacked20161011_15cm_JakobH_B	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_B.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not interacting
Xretro_not-interacting_3	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	not interacting	3	20161129_Homepacked20161011_15cm_JakobH_C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not interacting
Xretro_not-interacting_4	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	not interacting	4	20161129_Homepacked20161011_15cm_JakobH_D	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_D.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	not interacting
Xretro_wrinkly_1	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	1	20161129_Homepacked20161011_15cm_JakobH_E	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_E.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
Xretro_wrinkly_2	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	2	20161129_Homepacked20161011_15cm_JakobH_F	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_F.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
Xretro_wrinkly_3	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	3	20161129_Homepacked20161011_15cm_JakobH_G	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_G.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
Xretro_wrinkly_4	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	4	20161129_Homepacked20161011_15cm_JakobH_H	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_H.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
Xretro_wrinkly_4	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	4	20161129_Homepacked20161011_15cm_JakobH_H_techrep	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	2	20161129_Homepacked20161011_15cm_JakobH_H_techrep.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
Xretro_wrinkly_5	Xanthomonas retroflexus	not applicable	not applicable	not applicable	cell	wrinkly	5	20161129_Homepacked20161011_15cm_JakobH_I	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Variable	NT=Dithiothreitol (DTT);AC=PRIDE:0000608	NT=Iodoacetamide (IAA);AC=PRIDE:0000599	NT=higher energy beam-type collision-induced dissociation;AC=MS:1002481	28% NCE	4.5 ppm	20 ppm	350m/z-1500m/z	1	1	20161129_Homepacked20161011_15cm_JakobH_I.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	wrinkly
