source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[developmental stage]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[scan window lower limit]	comment[scan window upper limit]	comment[isolation window width]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[coronavirus shedding status]	factor value[sample processing]
bat_BZ134_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ134	organism part	1	BatCov_10	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_10.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ105_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ105	organism part	1	BatCov_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_12.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ143_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ143	organism part	1	BatCov_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_13.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ85_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ85	organism part	1	BatCov_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_14.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ117_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ117	organism part	1	BatCov_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_15.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ72_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ72	organism part	1	BatCov_16	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_16.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_D140_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D140	organism part	1	BatCov_16H	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_16H.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	heat inactivated (56C 1h)
bat_D140_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	not available	not available	not available	not applicable	D140	organism part	1	BatCov_16NH	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_16NH.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	not available	non-heated
bat_BZ75_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ75	organism part	1	BatCov_17	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_17.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding negative	not available
bat_BZ88_serum	NT=Desmodus rotundus;AC=NCBITaxon:9430	NT=blood serum;AC=UBERON:0001977	normal	not available	not available	not applicable	BZ88	organism part	1	BatCov_18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=beam-type collision-induced dissociation;AC=MS:1000422	32 NCE	399	1200	21	1	1	2021-7-13_BatCov_18.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=dia-acquisition;VV=v1.1.0	CoV shedding positive	not available
