source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[phenotype]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	comment[sdrf template]	factor value[disease]	factor value[phenotype]
aptamer_A1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer A1 pulldown	1	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_A1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer A1 pulldown
aptamer_A2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer A2 pulldown	2	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_A2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer A2 pulldown
aptamer_A3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer A3 pulldown	3	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_A3_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer A3 pulldown
aptamer_B2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer B2 pulldown	4	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_B2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer B2 pulldown
aptamer_B3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer B3 pulldown	5	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_B3_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer B3 pulldown
aptamer_B3	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer B3 pulldown	5	run 6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_B3_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer B3 pulldown
aptamer_B4	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer B4 pulldown	6	run 7	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_B4_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer B4 pulldown
aptamer_C1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C1 pulldown	7	run 8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_C1_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C1 pulldown
aptamer_C1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C1 pulldown	7	run 9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	2	1	Aptamer_C1_Band_2.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C1 pulldown
aptamer_C1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C1 pulldown	7	run 10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	3	1	Aptamer_C1_Band_3.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C1 pulldown
aptamer_C1	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C1 pulldown	7	run 11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	6	1	Aptamer_C1_Band_6.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C1 pulldown
aptamer_C2	Homo sapiens	blood plasma	not applicable	urinary bladder carcinoma	organism part	not available	not available	not available	adult	RNA aptamer C2 pulldown	8	run 12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Eclipse;AC=MS:1003029	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.1 Da	NT=orbitrap;AC=MS:1000484	1	1	Aptamer_C2_Band_1.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	NT=oncology-metadata;VV=v1.0.0	urinary bladder carcinoma	RNA aptamer C2 pulldown
