source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[biological replicate]	characteristics[heart weight]	characteristics[ancestry category]	characteristics[individual]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[file uri]	factor value[disease]
Sample 1	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	1	not applicable	not applicable	not applicable	1	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_006.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC61A2
Sample 2	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	2	not applicable	not applicable	not applicable	2	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_007.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC61A2
Sample 3	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	3	not applicable	not applicable	not applicable	3	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_008.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC61A2
Sample 4	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	4	not applicable	not applicable	not applicable	4	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_009.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC61A2
Sample 5	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	5	not applicable	not applicable	not applicable	5	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_010.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC61A2
Sample 6	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	1	not applicable	not applicable	not applicable	6	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_014.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC62
Sample 7	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	2	not applicable	not applicable	not applicable	7	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_015.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC62
Sample 8	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	3	not applicable	not applicable	not applicable	8	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_016.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC62
Sample 9	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	4	not applicable	not applicable	not applicable	9	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_017.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC62
Sample 10	NT=Homo sapiens;AC=NCBITaxon:9606	not applicable	CAL-51	not applicable	not applicable	not applicable	not applicable	5	not applicable	not applicable	not applicable	10	proteomic profiling by mass spectrometry	Data-independent acquisition	NT=Orbitrap Exploris 480;AC=MS:1003028	NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Acetylation;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	not applicable	not applicable	1	1	20210420_T3_018.raw	v1.1.0	manual curation	NT=dia-acquisition;VV=v1.1.0	not available	SEC62
