source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[biological replicate]	characteristics[pooled sample]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[synthetic peptide]	characteristics[spiked compound]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[elution conditions]	factor value[source name]
PXD034788_mouse_synthetic_mix46	Mus musculus	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic mouse spliced-peptide mix 46	FS1_YS_15771_Mix_46_20022022	proteomic profiling by mass spectrometry	1	FS1_YS_15771_Mix_46_20022022.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_mouse_synthetic_mix46
PXD034788_MITF_synthetic_peptide	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=peptide;CN=synthetic MITF-derived spliced peptide, diluted 1:10000	HF2_10861_YSA_9-ESP_-_Ronen_212P_1_020220_diluted_1_to_10000	proteomic profiling by mass spectrometry	1	HF2_10861_YSA_9-ESP_-_Ronen_212P_1_020220_diluted_1_to_10000.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_MITF_synthetic_peptide
PXD034788_class1_synthetic_mix23	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic HLA class I spliced-peptide mix 23	QEP2_12401_YSA_Mix_23_1_011020	proteomic profiling by mass spectrometry	1	QEP2_12401_YSA_Mix_23_1_011020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_class1_synthetic_mix23
PXD034788_class1_synthetic_mix23	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic HLA class I spliced-peptide mix 23	QEP2_12401_YSA_Mix_23_1_141020	proteomic profiling by mass spectrometry	2	QEP2_12401_YSA_Mix_23_1_141020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_class1_synthetic_mix23
PXD034788_heavy_peptides_sample27	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=peptide;CN=heavy isotope-labelled synthetic peptides for sample 27	QEP2_12565_YSA_845_1_291020	proteomic profiling by mass spectrometry	1	QEP2_12565_YSA_845_1_291020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_heavy_peptides_sample27
PXD034788_heavy_peptides_sample83T	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=peptide;CN=heavy isotope-labelled synthetic peptides for sample 83T	QEP2_12565_YSA_849_1_291020	proteomic profiling by mass spectrometry	1	QEP2_12565_YSA_849_1_291020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_heavy_peptides_sample83T
PXD034788_heavy_peptides_sampleSCC47	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=peptide;CN=heavy isotope-labelled synthetic peptides for sample SCC47	QEP2_12565_YSA_850_1_291020	proteomic profiling by mass spectrometry	1	QEP2_12565_YSA_850_1_291020.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_heavy_peptides_sampleSCC47
PXD034788_class2_synthetic_mix39_100x	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic HLA class II spliced-peptide mix 39, 100x concentrated	QEP2_YS_14501_mix_39_100x_220821_01	proteomic profiling by mass spectrometry	1	QEP2_YS_14501_mix_39_100x_220821_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_class2_synthetic_mix39_100x
PXD034788_class2_synthetic_mix39	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic HLA class II spliced-peptide mix 39	QEP2_YS_14501_mix_39_16082021	proteomic profiling by mass spectrometry	2	QEP2_YS_14501_mix_39_16082021.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_class2_synthetic_mix39
PXD034788_class2_synthetic_mix39	Homo sapiens	not applicable	not applicable	1	not applicable	quality control sample	not applicable	synthetic	synthetic	CT=mixture;CN=synthetic HLA class II spliced-peptide mix 39	QEP2_YS_14501_mix_39_16082021_02	proteomic profiling by mass spectrometry	1	QEP2_YS_14501_mix_39_16082021_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	sdrf-pipelines v0.1.5	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=unspecific cleavage;AC=MS:1001956	NT=label free sample;AC=MS:1002038	1	NT=HCD;AC=MS:1000422	25 NCE	not available	20 ppm	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	NT=orbitrap;AC=MS:1000484	linear gradient 5-28% acetonitrile in 0.1% formic acid over 2 h, 0.15 uL/min, 75 um x 300 mm self-packed C18 3.5 um capillary column, UltiMate 3000 RSLCnano	PXD034788_class2_synthetic_mix39
